layer,prefill_chunk,prefill_key,n_decode,kv_decode,decode_q_len,time_us
attention,0,0.0,1,16,1,7.41333
attention,0,0.0,1,24,1,7.42367
attention,0,0.0,1,36,1,7.45633
attention,0,0.0,1,54,1,7.48833
attention,0,0.0,1,81,1,8.822
attention,0,0.0,1,122,1,8.82133
attention,0,0.0,1,182,1,11.9897
attention,0,0.0,1,273,1,12.2133
attention,0,0.0,1,410,1,12.565
attention,0,0.0,1,615,1,13.0883
attention,0,0.0,1,923,1,13.9723
attention,0,0.0,1,1384,1,15.6693
attention,0,0.0,1,2076,1,18.6993
attention,0,0.0,1,3114,1,23.669
attention,0,0.0,1,4671,1,29.6323
attention,0,0.0,1,7006,1,35.6797
attention,0,0.0,1,10509,1,46.0703
attention,0,0.0,1,15764,1,60.0643
attention,0,0.0,1,16384,1,61.8777
attention,0,0.0,2,16,1,11.6907
attention,0,0.0,2,24,1,11.7443
attention,0,0.0,2,36,1,11.776
attention,0,0.0,2,54,1,11.776
attention,0,0.0,2,81,1,13.12
attention,0,0.0,2,122,1,13.355
attention,0,0.0,2,182,1,15.382
attention,0,0.0,2,273,1,15.9143
attention,0,0.0,2,410,1,16.5653
attention,0,0.0,2,615,1,17.8247
attention,0,0.0,2,923,1,19.583
attention,0,0.0,2,1384,1,22.7513
attention,0,0.0,2,2076,1,27.6163
attention,0,0.0,2,3114,1,35.4247
attention,0,0.0,2,4671,1,42.3893
attention,0,0.0,2,7006,1,54.7517
attention,0,0.0,2,10509,1,74.1017
attention,0,0.0,2,15764,1,101.92
attention,0,0.0,2,16384,1,106.08
attention,0,0.0,4,16,1,11.8287
attention,0,0.0,4,24,1,11.9147
attention,0,0.0,4,36,1,11.9683
attention,0,0.0,4,54,1,12.0967
attention,0,0.0,4,81,1,13.4607
attention,0,0.0,4,122,1,13.8023
attention,0,0.0,4,182,1,16.139
attention,0,0.0,4,273,1,16.992
attention,0,0.0,4,410,1,18.5283
attention,0,0.0,4,615,1,21.1307
attention,0,0.0,4,923,1,25.3967
attention,0,0.0,4,1384,1,30.133
attention,0,0.0,4,2076,1,37.8137
attention,0,0.0,4,3114,1,48.566
attention,0,0.0,4,4671,1,65.8357
attention,0,0.0,4,7006,1,91.68
attention,0,0.0,4,10509,1,129.58
attention,0,0.0,4,15764,1,186.111
attention,0,0.0,4,16384,1,191.969
attention,0,0.0,8,16,1,12.1703
attention,0,0.0,8,24,1,12.2567
attention,0,0.0,8,36,1,12.576
attention,0,0.0,8,54,1,12.9067
attention,0,0.0,8,81,1,14.1547
attention,0,0.0,8,122,1,14.2077
attention,0,0.0,8,182,1,17.7607
attention,0,0.0,8,273,1,21.8877
attention,0,0.0,8,410,1,24.0107
attention,0,0.0,8,615,1,28.0217
attention,0,0.0,8,923,1,34.6347
attention,0,0.0,8,1384,1,45.2167
attention,0,0.0,8,2076,1,59.7443
attention,0,0.0,8,3114,1,82.4107
attention,0,0.0,8,4671,1,116.619
attention,0,0.0,8,7006,1,166.39
attention,0,0.0,8,10509,1,243.286
attention,0,0.0,8,15764,1,357.846
attention,0,0.0,8,16384,1,371.137
attention,0,0.0,16,16,1,12.288
attention,0,0.0,16,24,1,12.725
attention,0,0.0,16,36,1,13.067
attention,0,0.0,16,54,1,13.5893
attention,0,0.0,16,81,1,15.3497
attention,0,0.0,16,122,1,16.341
attention,0,0.0,16,182,1,23.4243
attention,0,0.0,16,273,1,27.1253
attention,0,0.0,16,410,1,32.2883
attention,0,0.0,16,615,1,41.3433
attention,0,0.0,16,923,1,55.0613
attention,0,0.0,16,1384,1,75.6373
attention,0,0.0,16,2076,1,105.579
attention,0,0.0,16,3114,1,152.866
attention,0,0.0,16,4671,1,222.784
attention,0,0.0,16,7006,1,322.327
attention,0,0.0,16,10509,1,474.658
attention,0,0.0,16,15764,1,698.679
attention,0,0.0,16,16384,1,725.208
attention,0,0.0,32,16,1,13.7173
attention,0,0.0,32,24,1,14.464
attention,0,0.0,32,36,1,15.051
attention,0,0.0,32,54,1,16.6837
attention,0,0.0,32,81,1,18.5707
attention,0,0.0,32,122,1,22.1337
attention,0,0.0,32,182,1,27.4557
attention,0,0.0,32,273,1,35.3813
attention,0,0.0,32,410,1,51.104
attention,0,0.0,32,615,1,69.451
attention,0,0.0,32,923,1,97.3453
attention,0,0.0,32,1384,1,141.836
attention,0,0.0,32,2076,1,202.667
attention,0,0.0,32,3114,1,293.142
attention,0,0.0,32,4671,1,427.414
attention,0,0.0,32,7006,1,626.616
attention,0,0.0,32,10509,1,923.79
attention,0,0.0,32,15764,1,1373.2
attention,0,0.0,32,16384,1,1426.16
attention,0,0.0,64,16,1,17.877
attention,0,0.0,64,24,1,18.0363
attention,0,0.0,64,36,1,19.6697
attention,0,0.0,64,54,1,20.993
attention,0,0.0,64,81,1,26.4957
attention,0,0.0,64,122,1,32.459
attention,0,0.0,64,182,1,43.029
attention,0,0.0,64,273,1,60.6613
attention,0,0.0,64,410,1,88.0007
attention,0,0.0,64,615,1,124.577
attention,0,0.0,64,923,1,179.211
attention,0,0.0,64,1384,1,257.59
attention,0,0.0,64,2076,1,380.225
attention,0,0.0,64,3114,1,558.168
attention,0,0.0,64,4671,1,825.54
attention,0,0.0,64,7006,1,1228.83
attention,0,0.0,64,10509,1,1823.25
attention,0,0.0,64,15764,1,2719.59
attention,0,0.0,64,16384,1,2832.12
attention,0,0.0,128,16,1,22.986
attention,0,0.0,128,24,1,24.0743
attention,0,0.0,128,36,1,26.0907
attention,0,0.0,128,54,1,30.6563
attention,0,0.0,128,81,1,42.4213
attention,0,0.0,128,122,1,57.2597
attention,0,0.0,128,182,1,82.9767
attention,0,0.0,128,273,1,120.471
attention,0,0.0,128,410,1,170.422
attention,0,0.0,128,615,1,241.228
attention,0,0.0,128,923,1,348.79
attention,0,0.0,128,1384,1,507.266
attention,0,0.0,128,2076,1,743.683
attention,0,0.0,128,3114,1,1103.36
attention,0,0.0,128,4671,1,1633.32
attention,0,0.0,128,7006,1,2435.04
attention,0,0.0,128,10509,1,3625.68
attention,0,0.0,128,15764,1,5416.19
attention,0,0.0,128,16384,1,5628.05
attention,0,0.0,256,16,1,35.616
attention,0,0.0,256,24,1,36.9923
attention,0,0.0,256,36,1,40.821
attention,0,0.0,256,54,1,53.7497
attention,0,0.0,256,81,1,78.4323
attention,0,0.0,256,122,1,111.83
attention,0,0.0,256,182,1,157.644
attention,0,0.0,256,273,1,223.137
attention,0,0.0,256,410,1,318.743
attention,0,0.0,256,615,1,458.295
attention,0,0.0,256,923,1,670.018
attention,0,0.0,256,1384,1,984.74
attention,0,0.0,256,2076,1,1460.34
attention,0,0.0,256,3114,1,2170.07
attention,0,0.0,256,4671,1,3226.94
attention,0,0.0,256,7006,1,4831.79
attention,0,0.0,256,10509,1,7215.04
attention,0,0.0,256,15764,1,10835.6
attention,0,0.0,256,16384,1,11215.1
attention,16,16.0,0,0,1,8.71467
attention,16,16.0,1,16,1,8.544
attention,16,16.0,1,24,1,8.54433
attention,16,16.0,1,36,1,8.55467
attention,16,16.0,1,54,1,8.62967
attention,16,16.0,1,81,1,8.60833
attention,16,16.0,1,122,1,8.62967
attention,16,16.0,1,182,1,10.6347
attention,16,16.0,1,273,1,13.3333
attention,16,16.0,1,410,1,15.99
attention,16,16.0,1,615,1,18.7737
attention,16,16.0,1,923,1,26.7097
attention,16,16.0,1,1384,1,35.0827
attention,16,16.0,1,2076,1,50.9973
attention,16,16.0,1,3114,1,73.0773
attention,16,16.0,1,4671,1,104.545
attention,16,16.0,1,7006,1,152.812
attention,16,16.0,1,10509,1,229.74
