layer,n_label,pc_label,lev_label,alpha,n_samples
attention,n=128,pc0,lev3,0.0589,38
attention,n=128,pcL,lev0,0.0932,118
attention,n=128,pcL,lev1,0.0132,103
attention,n=128,pcL,lev2,0.0127,48
attention,n=128,pcL,lev3,0.0081,63
attention,n=128,pcL,lev4,0.0047,54
attention,n=128,pcM,lev0,0.1977,146
attention,n=128,pcM,lev1,0.0224,161
attention,n=128,pcM,lev2,0.012,159
attention,n=128,pcM,lev3,0.0188,109
attention,n=128,pcM,lev4,0.008,171
attention,n=128,pcS,lev0,0.2988,303
attention,n=128,pcS,lev1,0.0791,254
attention,n=128,pcS,lev2,0.0142,439
attention,n=128,pcS,lev3,0.0214,389
attention,n=128,pcS,lev4,0.0132,493
attention,n=16,pcL,lev0,0.0833,176
attention,n=16,pcL,lev1,0.1793,51
attention,n=16,pcL,lev2,0.245,25
attention,n=16,pcM,lev0,0.1361,257
attention,n=16,pcM,lev1,0.1083,136
attention,n=16,pcM,lev2,0.2565,90
attention,n=16,pcM,lev3,0.2794,21
attention,n=16,pcS,lev0,0.3775,475
attention,n=16,pcS,lev1,0.01,363
attention,n=16,pcS,lev2,0.2842,272
attention,n=16,pcS,lev3,0.2887,150
attention,n=2,pcL,lev0,0.0478,41
attention,n=2,pcM,lev0,0.3255,48
attention,n=2,pcM,lev1,0.9639,32
attention,n=2,pcS,lev0,-0.0278,96
attention,n=2,pcS,lev1,0.9712,115
attention,n=256,pc0,lev3,0.0219,37
attention,n=32,pc0,lev3,0.0025,23
attention,n=32,pcL,lev0,0.0762,173
attention,n=32,pcL,lev1,0.0308,77
attention,n=32,pcL,lev2,0.0949,38
attention,n=32,pcL,lev3,0.0726,22
attention,n=32,pcM,lev0,0.1176,226
attention,n=32,pcM,lev1,0.0473,186
attention,n=32,pcM,lev2,0.1019,91
attention,n=32,pcM,lev3,0.1148,91
attention,n=32,pcS,lev0,0.1974,417
attention,n=32,pcS,lev1,0.0623,425
attention,n=32,pcS,lev2,0.091,304
attention,n=32,pcS,lev3,0.1136,362
attention,n=4,pcL,lev0,0.1471,93
attention,n=4,pcM,lev0,0.3539,147
attention,n=4,pcM,lev1,0.708,62
attention,n=4,pcS,lev0,0.3591,317
attention,n=4,pcS,lev1,0.9314,140
attention,n=4,pcS,lev2,0.9569,76
attention,n=64,pc0,lev3,0.1177,30
attention,n=64,pcL,lev0,0.0866,133
attention,n=64,pcL,lev1,0.0234,91
attention,n=64,pcL,lev2,0.0114,29
attention,n=64,pcL,lev3,0.0265,39
attention,n=64,pcL,lev4,0.0268,32
attention,n=64,pcM,lev0,0.2053,165
attention,n=64,pcM,lev1,0.0244,186
attention,n=64,pcM,lev2,0.0283,113
attention,n=64,pcM,lev3,0.042,115
attention,n=64,pcM,lev4,0.0326,69
attention,n=64,pcS,lev0,0.2832,316
attention,n=64,pcS,lev1,0.031,351
attention,n=64,pcS,lev2,0.0379,374
attention,n=64,pcS,lev3,0.0467,369
attention,n=64,pcS,lev4,0.0441,210
attention,n=8,pcL,lev0,0.1088,191
attention,n=8,pcL,lev1,0.4096,44
attention,n=8,pcM,lev0,0.1578,293
attention,n=8,pcM,lev1,0.3576,111
attention,n=8,pcM,lev2,0.4067,45
attention,n=8,pcS,lev0,0.7645,591
attention,n=8,pcS,lev1,0.0854,279
attention,n=8,pcS,lev2,0.3054,219
attention,n=8,pcS,lev3,0.3963,61
