layer,prefill_chunk,prefill_key,n_decode,kv_decode,decode_q_len,time_us
attention,0,0.0,1,16,1,6.61367
attention,0,0.0,1,24,1,6.63433
attention,0,0.0,1,36,1,6.645
attention,0,0.0,1,54,1,6.72033
attention,0,0.0,1,81,1,7.86133
attention,0,0.0,1,122,1,8.03167
attention,0,0.0,1,182,1,11.2113
attention,0,0.0,1,273,1,11.509
attention,0,0.0,1,410,1,11.7543
attention,0,0.0,1,615,1,12.096
attention,0,0.0,1,923,1,12.5877
attention,0,0.0,1,1384,1,13.1627
attention,0,0.0,1,2076,1,14.262
attention,0,0.0,1,3114,1,15.6903
attention,0,0.0,1,4671,1,17.6957
attention,0,0.0,1,7006,1,20.875
attention,0,0.0,1,10509,1,26.0373
attention,0,0.0,1,15764,1,37.0673
attention,0,0.0,1,16384,1,25.173
attention,0,0.0,2,16,1,11.222
attention,0,0.0,2,24,1,11.253
attention,0,0.0,2,36,1,11.2217
attention,0,0.0,2,54,1,11.3383
attention,0,0.0,2,81,1,12.523
attention,0,0.0,2,122,1,12.726
attention,0,0.0,2,182,1,14.838
attention,0,0.0,2,273,1,15.157
attention,0,0.0,2,410,1,15.2867
attention,0,0.0,2,615,1,15.7867
attention,0,0.0,2,923,1,16.3517
attention,0,0.0,2,1384,1,17.1727
attention,0,0.0,2,2076,1,19.1467
attention,0,0.0,2,3114,1,21.6637
attention,0,0.0,2,4671,1,25.685
attention,0,0.0,2,7006,1,32.3737
attention,0,0.0,2,10509,1,41.8463
attention,0,0.0,2,15764,1,45.4827
attention,0,0.0,2,16384,1,46.9123
attention,0,0.0,4,16,1,11.3703
attention,0,0.0,4,24,1,11.4137
attention,0,0.0,4,36,1,11.4563
attention,0,0.0,4,54,1,11.5413
attention,0,0.0,4,81,1,12.8533
attention,0,0.0,4,122,1,12.896
attention,0,0.0,4,182,1,15.0083
attention,0,0.0,4,273,1,15.4137
attention,0,0.0,4,410,1,15.648
attention,0,0.0,4,615,1,16.1813
attention,0,0.0,4,923,1,17.1093
attention,0,0.0,4,1384,1,18.8693
attention,0,0.0,4,2076,1,21.8563
attention,0,0.0,4,3114,1,26.955
attention,0,0.0,4,4671,1,32.3417
attention,0,0.0,4,7006,1,38.923
attention,0,0.0,4,10509,1,49.365
attention,0,0.0,4,15764,1,63.5307
attention,0,0.0,4,16384,1,64.8953
attention,0,0.0,8,16,1,11.4453
attention,0,0.0,8,24,1,11.573
attention,0,0.0,8,36,1,11.478
attention,0,0.0,8,54,1,11.5513
attention,0,0.0,8,81,1,12.992
attention,0,0.0,8,122,1,13.088
attention,0,0.0,8,182,1,15.2957
attention,0,0.0,8,273,1,15.744
attention,0,0.0,8,410,1,16.2347
attention,0,0.0,8,615,1,17.3227
attention,0,0.0,8,923,1,19.7757
attention,0,0.0,8,1384,1,22.592
