layer,prefill_chunk,prefill_key,n_decode,kv_decode,decode_q_len,time_us
attention,0,0.0,2,65536,9,162.849
attention,0,0.0,2,131072,1,75.2753
attention,0,0.0,2,131072,2,68.8323
attention,0,0.0,2,131072,3,94.5817
attention,0,0.0,2,131072,5,139.552
attention,0,0.0,2,131072,9,165.441
attention,0,0.0,2,163830,1,75.776
attention,0,0.0,2,163830,2,69.441
attention,0,0.0,2,163830,3,96.865
attention,0,0.0,2,163830,5,140.31
attention,0,0.0,2,163830,9,167.008
attention,0,0.0,4,16,1,262.625
attention,0,0.0,4,16,2,468.046
attention,0,0.0,4,16,3,684.932
attention,0,0.0,4,16,5,1138.03
attention,0,0.0,4,16,9,1995.36
attention,0,0.0,4,32,1,262.582
attention,0,0.0,4,32,2,479.107
attention,0,0.0,4,32,3,691.3
attention,0,0.0,4,32,5,1127.66
attention,0,0.0,4,32,9,1978.12
attention,0,0.0,4,64,1,258.412
attention,0,0.0,4,64,2,465.666
attention,0,0.0,4,64,3,675.373
attention,0,0.0,4,64,5,1115.42
attention,0,0.0,4,64,9,1954.73
attention,0,0.0,4,128,1,250.892
attention,0,0.0,4,128,2,447.916
attention,0,0.0,4,128,3,658.573
attention,0,0.0,4,128,5,1080.38
attention,0,0.0,4,128,9,1899.39
attention,0,0.0,4,256,1,238.785
attention,0,0.0,4,256,2,420.834
attention,0,0.0,4,256,3,616.824
attention,0,0.0,4,256,5,1004.26
attention,0,0.0,4,256,9,1781.1
attention,0,0.0,4,512,1,207.809
attention,0,0.0,4,512,2,378.85
attention,0,0.0,4,512,3,538.893
attention,0,0.0,4,512,5,872.035
attention,0,0.0,4,512,9,1568.83
attention,0,0.0,4,1024,1,153.58
attention,0,0.0,4,1024,2,266.369
attention,0,0.0,4,1024,3,378.102
attention,0,0.0,4,1024,5,607.064
attention,0,0.0,4,1024,9,1129.88
attention,0,0.0,4,2048,1,73.121
attention,0,0.0,4,2048,2,102.528
attention,0,0.0,4,2048,3,144.565
attention,0,0.0,4,2048,5,168.075
attention,0,0.0,4,2048,9,280.14
attention,0,0.0,4,4096,1,73.3767
attention,0,0.0,4,4096,2,101.131
attention,0,0.0,4,4096,3,144.32
attention,0,0.0,4,4096,5,168.246
attention,0,0.0,4,4096,9,281.131
attention,0,0.0,4,8192,1,74.4643
attention,0,0.0,4,8192,2,99.4147
attention,0,0.0,4,8192,3,144.823
attention,0,0.0,4,8192,5,168.14
attention,0,0.0,4,8192,9,279.66
attention,0,0.0,4,16384,1,74.5393
attention,0,0.0,4,16384,2,100.565
attention,0,0.0,4,16384,3,143.797
attention,0,0.0,4,16384,5,168.757
attention,0,0.0,4,16384,9,280.364
attention,0,0.0,4,32768,1,75.9047
attention,0,0.0,4,32768,2,100.566
attention,0,0.0,4,32768,3,144.097
attention,0,0.0,4,32768,5,169.377
attention,0,0.0,4,32768,9,281.9
attention,0,0.0,4,65536,1,75.0937
attention,0,0.0,4,65536,2,99.9147
attention,0,0.0,4,65536,3,142.369
attention,0,0.0,4,65536,5,169.526
attention,0,0.0,4,65536,9,282.924
attention,0,0.0,4,131072,1,74.497
attention,0,0.0,4,131072,2,103.392
attention,0,0.0,4,131072,3,148.481
attention,0,0.0,4,131072,5,174.411
attention,0,0.0,4,131072,9,287.329
attention,0,0.0,4,163830,1,75.115
attention,0,0.0,4,163830,2,104.832
attention,0,0.0,4,163830,3,150.4
attention,0,0.0,4,163830,5,174.892
attention,0,0.0,4,163830,9,287.841
attention,0,0.0,8,16,1,468.898
attention,0,0.0,8,16,2,907.406
attention,0,0.0,8,16,3,1380.72
attention,0,0.0,8,16,5,2220.35
attention,0,0.0,8,16,9,1275.65
attention,0,0.0,8,32,1,479.16
attention,0,0.0,8,32,2,910.543
attention,0,0.0,8,32,3,1372.43
attention,0,0.0,8,32,5,2201.33
attention,0,0.0,8,32,9,1260.04
attention,0,0.0,8,64,1,465.612
attention,0,0.0,8,64,2,886.713
attention,0,0.0,8,64,3,1359.01
attention,0,0.0,8,64,5,2168.74
attention,0,0.0,8,64,9,1245.77
attention,0,0.0,8,128,1,447.905
attention,0,0.0,8,128,2,865.198
attention,0,0.0,8,128,3,1320.41
attention,0,0.0,8,128,5,2113.92
attention,0,0.0,8,128,9,1222.92
attention,0,0.0,8,256,1,421.26
attention,0,0.0,8,256,2,802.926
attention,0,0.0,8,256,3,1236.55
attention,0,0.0,8,256,5,1976.2
attention,0,0.0,8,256,9,1155.87
attention,0,0.0,8,512,1,378.614
attention,0,0.0,8,512,2,697.677
attention,0,0.0,8,512,3,1089.03
attention,0,0.0,8,512,5,1726.21
attention,0,0.0,8,512,9,1013.64
attention,0,0.0,8,1024,1,266.06
attention,0,0.0,8,1024,2,495.778
attention,0,0.0,8,1024,3,797.829
attention,0,0.0,8,1024,5,1232.21
attention,0,0.0,8,1024,9,758.371
attention,0,0.0,8,2048,1,112.661
attention,0,0.0,8,2048,2,154.571
attention,0,0.0,8,2048,3,233.847
attention,0,0.0,8,2048,5,289.717
attention,0,0.0,8,2048,9,289.131
attention,0,0.0,8,4096,1,113.067
attention,0,0.0,8,4096,2,159.414
attention,0,0.0,8,4096,3,234.539
attention,0,0.0,8,4096,5,289.634
attention,0,0.0,8,4096,9,289.004
attention,0,0.0,8,8192,1,115.392
attention,0,0.0,8,8192,2,154.367
attention,0,0.0,8,8192,3,233.227
attention,0,0.0,8,8192,5,289.11
attention,0,0.0,8,8192,9,289.857
attention,0,0.0,8,16384,1,117.462
attention,0,0.0,8,16384,2,156.171
attention,0,0.0,8,16384,3,235.414
attention,0,0.0,8,16384,5,290.337
attention,0,0.0,8,16384,9,291.084
attention,0,0.0,8,32768,1,119.435
attention,0,0.0,8,32768,2,155.904
attention,0,0.0,8,32768,3,235.916
attention,0,0.0,8,32768,5,291.191
attention,0,0.0,8,32768,9,293.398
attention,0,0.0,8,65536,1,115.947
attention,0,0.0,8,65536,2,157.397
attention,0,0.0,8,65536,3,238.72
attention,0,0.0,8,65536,5,292.907
attention,0,0.0,8,65536,9,297.474
attention,0,0.0,8,131072,1,115.222
attention,0,0.0,8,131072,2,166.571
attention,0,0.0,8,131072,3,239.404
attention,0,0.0,8,131072,5,292.715
attention,0,0.0,8,131072,9,292.481
attention,0,0.0,8,163830,1,114.944
attention,0,0.0,8,163830,2,163.904
attention,0,0.0,8,163830,3,235.777
attention,0,0.0,8,163830,5,290.743
attention,0,0.0,8,163830,9,291.158
attention,0,0.0,16,16,1,911.726
attention,0,0.0,16,16,2,1802.04
attention,0,0.0,16,16,3,2696.02
attention,0,0.0,16,16,5,1409.33
attention,0,0.0,16,16,9,2503.13
attention,0,0.0,16,32,1,912.89
attention,0,0.0,16,32,2,1785.57
attention,0,0.0,16,32,3,2672.64
attention,0,0.0,16,32,5,1395.69
attention,0,0.0,16,32,9,2487.11
attention,0,0.0,16,64,1,884.527
attention,0,0.0,16,64,2,1755.41
attention,0,0.0,16,64,3,2627.93
attention,0,0.0,16,64,5,1378.21
attention,0,0.0,16,64,9,2458.93
attention,0,0.0,16,128,1,863.779
attention,0,0.0,16,128,2,1691.31
attention,0,0.0,16,128,3,2543.66
attention,0,0.0,16,128,5,1351.46
attention,0,0.0,16,128,9,2396.63
attention,0,0.0,16,256,1,802.423
attention,0,0.0,16,256,2,1580.26
attention,0,0.0,16,256,3,2379.95
attention,0,0.0,16,256,5,1271.97
attention,0,0.0,16,256,9,2246.45
attention,0,0.0,16,512,1,691.853
attention,0,0.0,16,512,2,1391.76
attention,0,0.0,16,512,3,2061.89
attention,0,0.0,16,512,5,1118.87
attention,0,0.0,16,512,9,1965.2
attention,0,0.0,16,1024,1,490.019
attention,0,0.0,16,1024,2,1004.28
attention,0,0.0,16,1024,3,1453.63
attention,0,0.0,16,1024,5,830.927
attention,0,0.0,16,1024,9,1428
attention,0,0.0,16,2048,1,185.761
attention,0,0.0,16,2048,2,255.681
attention,0,0.0,16,2048,3,406.935
attention,0,0.0,16,2048,5,292.427
attention,0,0.0,16,2048,9,547.33
attention,0,0.0,16,4096,1,185.036
attention,0,0.0,16,4096,2,254.55
attention,0,0.0,16,4096,3,407.032
attention,0,0.0,16,4096,5,292.299
attention,0,0.0,16,4096,9,547.757
attention,0,0.0,16,8192,1,189.676
attention,0,0.0,16,8192,2,254.4
attention,0,0.0,16,8192,3,407.532
attention,0,0.0,16,8192,5,294.764
attention,0,0.0,16,8192,9,548.035
attention,0,0.0,16,16384,1,190.198
attention,0,0.0,16,16384,2,253.836
attention,0,0.0,16,16384,3,408.343
attention,0,0.0,16,16384,5,295.852
attention,0,0.0,16,16384,9,553.198
attention,0,0.0,16,32768,1,185.047
attention,0,0.0,16,32768,2,258.402
attention,0,0.0,16,32768,3,411.692
attention,0,0.0,16,32768,5,298.796
attention,0,0.0,16,32768,9,554.595
attention,0,0.0,16,65536,1,183.723
attention,0,0.0,16,65536,2,264.172
attention,0,0.0,16,65536,3,410.114
attention,0,0.0,16,65536,5,295.532
attention,0,0.0,16,65536,9,550.989
attention,0,0.0,16,131072,1,183.563
attention,0,0.0,16,131072,2,251.874
attention,0,0.0,16,131072,3,407.607
attention,0,0.0,16,131072,5,296.354
attention,0,0.0,16,131072,9,552.216
attention,0,0.0,16,163830,1,183.872
attention,0,0.0,16,163830,2,251.009
attention,0,0.0,16,163830,3,406.658
attention,0,0.0,16,163830,5,298.518
attention,0,0.0,16,163830,9,548.045
attention,0,0.0,32,16,1,1808.41
attention,0,0.0,32,16,2,3517.24
attention,0,0.0,32,16,3,1692.42
attention,0,0.0,32,16,5,2785.42
attention,0,0.0,32,16,9,4979.64
attention,0,0.0,32,32,1,1787.17
attention,0,0.0,32,32,2,3762.1
attention,0,0.0,32,32,3,1799.87
attention,0,0.0,32,32,5,2819.6
attention,0,0.0,32,32,9,4937.86
attention,0,0.0,32,64,1,1762.96
attention,0,0.0,32,64,2,3437.81
attention,0,0.0,32,64,3,1650.33
attention,0,0.0,32,64,5,2725.99
attention,0,0.0,32,64,9,4870.05
attention,0,0.0,32,128,1,1701.61
attention,0,0.0,32,128,2,3332.43
attention,0,0.0,32,128,3,1613.17
attention,0,0.0,32,128,5,2665.42
attention,0,0.0,32,128,9,4732.34
attention,0,0.0,32,256,1,1600.2
attention,0,0.0,32,256,2,3111.88
attention,0,0.0,32,256,3,1520.1
attention,0,0.0,32,256,5,2505.75
attention,0,0.0,32,256,9,4444.69
attention,0,0.0,32,512,1,1399.45
attention,0,0.0,32,512,2,2694.2
attention,0,0.0,32,512,3,1332.82
attention,0,0.0,32,512,5,2188.57
attention,0,0.0,32,512,9,3869.36
attention,0,0.0,32,1024,1,1008.81
attention,0,0.0,32,1024,2,1887.68
attention,0,0.0,32,1024,3,978.927
attention,0,0.0,32,1024,5,1596.1
attention,0,0.0,32,1024,9,2761.58
attention,0,0.0,32,2048,1,294.966
attention,0,0.0,32,2048,2,435.351
attention,0,0.0,32,2048,3,413.912
attention,0,0.0,32,2048,5,555.49
attention,0,0.0,32,2048,9,951.141
attention,0,0.0,32,4096,1,296.824
attention,0,0.0,32,4096,2,437.368
attention,0,0.0,32,4096,3,414.091
attention,0,0.0,32,4096,5,555.043
attention,0,0.0,32,4096,9,954.405
attention,0,0.0,32,8192,1,298.071
attention,0,0.0,32,8192,2,434.689
attention,0,0.0,32,8192,3,415.703
attention,0,0.0,32,8192,5,558.446
attention,0,0.0,32,8192,9,957.594
attention,0,0.0,32,16384,1,290.338
attention,0,0.0,32,16384,2,441.293
attention,0,0.0,32,16384,3,418.22
attention,0,0.0,32,16384,5,561.666
attention,0,0.0,32,16384,9,958.394
attention,0,0.0,32,32768,1,287.522
attention,0,0.0,32,32768,2,444.877
attention,0,0.0,32,32768,3,416.685
attention,0,0.0,32,32768,5,558.958
attention,0,0.0,32,32768,9,957.956
attention,0,0.0,32,65536,1,287.575
attention,0,0.0,32,65536,2,431.287
attention,0,0.0,32,65536,3,417.74
attention,0,0.0,32,65536,5,559.576
attention,0,0.0,32,65536,9,954.831
attention,0,0.0,32,131072,1,287.596
attention,0,0.0,32,131072,2,436.343
attention,0,0.0,32,131072,3,412.45
attention,0,0.0,32,131072,5,559.639
attention,0,0.0,32,131072,9,958.629
attention,0,0.0,32,163830,1,287.126
attention,0,0.0,32,163830,2,430.167
attention,0,0.0,32,163830,3,412.961
attention,0,0.0,32,163830,5,555.053
attention,0,0.0,32,163830,9,954.308
attention,0,0.0,64,16,1,3534.24
attention,0,0.0,64,16,2,2229.3
attention,0,0.0,64,16,3,3336.54
attention,0,0.0,64,16,5,5522.54
attention,0,0.0,64,16,9,9953.89
attention,0,0.0,64,32,1,3497.25
attention,0,0.0,64,32,2,2213.81
attention,0,0.0,64,32,3,3316.45
attention,0,0.0,64,32,5,5482.16
attention,0,0.0,64,32,9,9879.89
attention,0,0.0,64,64,1,3443.76
attention,0,0.0,64,64,2,2182.5
attention,0,0.0,64,64,3,3270.47
attention,0,0.0,64,64,5,5400.81
attention,0,0.0,64,64,9,9738.09
attention,0,0.0,64,128,1,3592.7
attention,0,0.0,64,128,2,2290.23
attention,0,0.0,64,128,3,3415.02
attention,0,0.0,64,128,5,5657.84
attention,0,0.0,64,128,9,9459.24
attention,0,0.0,64,256,1,3119.46
attention,0,0.0,64,256,2,2004.46
attention,0,0.0,64,256,3,2981.93
attention,0,0.0,64,256,5,4932.5
attention,0,0.0,64,256,9,8880.69
attention,0,0.0,64,512,1,2707.87
attention,0,0.0,64,512,2,1753.23
attention,0,0.0,64,512,3,2600.89
attention,0,0.0,64,512,5,4290.71
attention,0,0.0,64,512,9,7711.36
attention,0,0.0,64,1024,1,2032.76
attention,0,0.0,64,1024,2,1367.84
attention,0,0.0,64,1024,3,1961.79
attention,0,0.0,64,1024,5,3049.1
attention,0,0.0,64,1024,9,5835.3
attention,0,0.0,64,2048,1,489.655
attention,0,0.0,64,2048,2,426.594
attention,0,0.0,64,2048,3,682.755
attention,0,0.0,64,2048,5,964.462
attention,0,0.0,64,2048,9,1839.5
attention,0,0.0,64,4096,1,490.296
attention,0,0.0,64,4096,2,426.296
attention,0,0.0,64,4096,3,683.683
attention,0,0.0,64,4096,5,967.579
attention,0,0.0,64,4096,9,1837.93
attention,0,0.0,64,8192,1,484.354
attention,0,0.0,64,8192,2,429.697
attention,0,0.0,64,8192,3,687.62
attention,0,0.0,64,8192,5,968.27
attention,0,0.0,64,8192,9,1840.34
attention,0,0.0,64,16384,1,473.709
attention,0,0.0,64,16384,2,429.75
attention,0,0.0,64,16384,3,686.711
attention,0,0.0,64,16384,5,965.316
attention,0,0.0,64,16384,9,1838.63
attention,0,0.0,64,32768,1,474.39
attention,0,0.0,64,32768,2,430.892
attention,0,0.0,64,32768,3,683.896
attention,0,0.0,64,32768,5,964.644
attention,0,0.0,64,32768,9,1837.08
attention,0,0.0,64,65536,1,482.893
attention,0,0.0,64,65536,2,425.837
attention,0,0.0,64,65536,3,686.36
attention,0,0.0,64,65536,5,966.671
attention,0,0.0,64,65536,9,1838.13
attention,0,0.0,64,131072,1,492.546
attention,0,0.0,64,131072,2,423.234
attention,0,0.0,64,131072,3,681.454
attention,0,0.0,64,131072,5,963.481
attention,0,0.0,64,131072,9,1833.36
attention,0,0.0,64,163830,1,478.904
attention,0,0.0,64,163830,2,429.41
attention,0,0.0,64,163830,3,680.451
attention,0,0.0,64,163830,5,968.921
attention,0,0.0,64,163830,9,1835.44
attention,0,0.0,128,16,1,2230.95
attention,0,0.0,128,16,2,4425.63
attention,0,0.0,128,16,3,6632.04
attention,0,0.0,128,16,5,11069.3
attention,0,0.0,128,16,9,19952.8
attention,0,0.0,128,32,1,2215.07
attention,0,0.0,128,32,2,4390.75
attention,0,0.0,128,32,3,6592.48
attention,0,0.0,128,32,5,10989
attention,0,0.0,128,32,9,19810.8
attention,0,0.0,128,64,1,2349.3
attention,0,0.0,128,64,2,4328.16
attention,0,0.0,128,64,3,6485.32
attention,0,0.0,128,64,5,10824.6
attention,0,0.0,128,64,9,19518.1
attention,0,0.0,128,128,1,2291.33
attention,0,0.0,128,128,2,4534.11
attention,0,0.0,128,128,3,6782.6
attention,0,0.0,128,128,5,10516.7
attention,0,0.0,128,128,9,18961.6
attention,0,0.0,128,256,1,2056.31
attention,0,0.0,128,256,2,4262.09
attention,0,0.0,128,256,3,6223.79
attention,0,0.0,128,256,5,9874.91
attention,0,0.0,128,256,9,17780.2
attention,0,0.0,128,512,1,1841.7
attention,0,0.0,128,512,2,3701.04
attention,0,0.0,128,512,3,5533.17
attention,0,0.0,128,512,5,8589.74
attention,0,0.0,128,512,9,15458
attention,0,0.0,128,1024,1,1285.24
attention,0,0.0,128,1024,2,2461.52
attention,0,0.0,128,1024,3,3637.84
attention,0,0.0,128,1024,5,6041.3
attention,0,0.0,128,1024,9,10833.7
attention,0,0.0,128,2048,1,436.664
attention,0,0.0,128,2048,2,817.668
attention,0,0.0,128,2048,3,1241.23
attention,0,0.0,128,2048,5,1999.9
attention,0,0.0,128,2048,9,3614.82
attention,0,0.0,128,4096,1,441.826
attention,0,0.0,128,4096,2,824.217
attention,0,0.0,128,4096,3,1245.07
attention,0,0.0,128,4096,5,1996.28
attention,0,0.0,128,4096,9,3614
attention,0,0.0,128,8192,1,440.674
attention,0,0.0,128,8192,2,821.827
attention,0,0.0,128,8192,3,1240.71
attention,0,0.0,128,8192,5,1999.86
attention,0,0.0,128,8192,9,3620.06
