layer,prefill_chunk,prefill_key,n_decode,kv_decode,decode_q_len,time_us
attention,0,0.0,128,122,1,32.341
attention,0,0.0,128,182,1,43.2117
attention,0,0.0,128,273,1,59.787
attention,0,0.0,128,410,1,86.4753
attention,0,0.0,128,615,1,128.875
attention,0,0.0,128,923,1,183.083
attention,0,0.0,128,1384,1,263.018
attention,0,0.0,128,2076,1,385.015
attention,0,0.0,128,3114,1,562.445
attention,0,0.0,128,4671,1,833.337
attention,0,0.0,128,7006,1,1231.26
attention,0,0.0,128,10509,1,1831.85
attention,0,0.0,128,15764,1,2736.68
attention,0,0.0,128,16384,1,2841.08
attention,0,0.0,256,16,1,22.975
attention,0,0.0,256,24,1,24.1707
attention,0,0.0,256,36,1,26.4637
attention,0,0.0,256,54,1,30.955
attention,0,0.0,256,81,1,41.0673
attention,0,0.0,256,122,1,54.3573
attention,0,0.0,256,182,1,80.4807
attention,0,0.0,256,273,1,121.771
attention,0,0.0,256,410,1,171.991
attention,0,0.0,256,615,1,243.105
attention,0,0.0,256,923,1,349.078
attention,0,0.0,256,1384,1,508.589
attention,0,0.0,256,2076,1,746.308
attention,0,0.0,256,3114,1,1103.4
attention,0,0.0,256,4671,1,1637.3
attention,0,0.0,256,7006,1,2435.69
attention,0,0.0,256,10509,1,3635.18
attention,0,0.0,256,15764,1,5442.31
attention,0,0.0,256,16384,1,5659.7
attention,16,16.0,0,0,1,8.74633
attention,16,16.0,1,16,1,8.74667
attention,16,16.0,1,24,1,8.66133
attention,16,16.0,1,36,1,8.832
attention,16,16.0,1,54,1,8.928
attention,16,16.0,1,81,1,8.93833
attention,16,16.0,1,122,1,8.82133
attention,16,16.0,1,182,1,10.8483
attention,16,16.0,1,273,1,13.365
attention,16,16.0,1,410,1,15.9893
attention,16,16.0,1,615,1,18.8907
attention,16,16.0,1,923,1,26.603
attention,16,16.0,1,1384,1,35.1683
attention,16,16.0,1,2076,1,50.9547
attention,16,16.0,1,3114,1,72.5553
attention,16,16.0,1,4671,1,104.619
attention,16,16.0,1,7006,1,153.44
attention,16,16.0,1,10509,1,227.595
attention,16,16.0,1,15764,1,337.644
attention,16,16.0,1,16384,1,353.185
attention,16,16.0,2,16,1,8.80067
attention,16,16.0,2,24,1,8.74667
attention,16,16.0,2,36,1,8.736
attention,16,16.0,2,54,1,8.69367
attention,16,16.0,2,81,1,8.704
attention,16,16.0,2,122,1,8.70433
attention,16,16.0,2,182,1,10.5387
attention,16,16.0,2,273,1,13.472
attention,16,16.0,2,410,1,15.9043
attention,16,16.0,2,615,1,18.816
attention,16,16.0,2,923,1,26.7517
attention,16,16.0,2,1384,1,35.232
attention,16,16.0,2,2076,1,50.848
attention,16,16.0,2,3114,1,72.5237
attention,16,16.0,2,4671,1,105.302
attention,16,16.0,2,7006,1,154.209
attention,16,16.0,2,10509,1,228.268
attention,16,16.0,2,15764,1,337.25
attention,16,16.0,2,16384,1,353.389
attention,16,16.0,4,16,1,8.45867
attention,16,16.0,4,24,1,8.523
attention,16,16.0,4,36,1,8.62967
attention,16,16.0,4,54,1,8.522
attention,16,16.0,4,81,1,8.74633
attention,16,16.0,4,122,1,8.75767
attention,16,16.0,4,182,1,10.603
attention,16,16.0,4,273,1,13.1303
attention,16,16.0,4,410,1,15.8293
attention,16,16.0,4,615,1,18.848
attention,16,16.0,4,923,1,26.603
attention,16,16.0,4,1384,1,35.3603
attention,16,16.0,4,2076,1,51.4887
attention,16,16.0,4,3114,1,73.2483
attention,16,16.0,4,4671,1,105.942
attention,16,16.0,4,7006,1,154.646
attention,16,16.0,4,10509,1,228.374
attention,16,16.0,4,15764,1,344.802
attention,16,16.0,4,16384,1,354.167
attention,16,16.0,8,16,1,8.544
attention,16,16.0,8,24,1,8.53333
attention,16,16.0,8,36,1,8.65067
attention,16,16.0,8,54,1,8.8
attention,16,16.0,8,81,1,9.01433
attention,16,16.0,8,122,1,9.088
attention,16,16.0,8,182,1,10.8373
attention,16,16.0,8,273,1,13.355
attention,16,16.0,8,410,1,16.203
attention,16,16.0,8,615,1,19.3497
attention,16,16.0,8,923,1,27.6477
attention,16,16.0,8,1384,1,36.3843
attention,16,16.0,8,2076,1,52.992
attention,16,16.0,8,3114,1,75.1787
attention,16,16.0,8,4671,1,108.257
attention,16,16.0,8,7006,1,157.206
attention,16,16.0,8,10509,1,238.134
attention,16,16.0,8,15764,1,352.055
attention,16,16.0,8,16384,1,367.937
attention,16,16.0,16,16,1,13.1097
attention,16,16.0,16,24,1,12.981
attention,16,16.0,16,36,1,13.024
attention,16,16.0,16,54,1,13.259
attention,16,16.0,16,81,1,13.3653
attention,16,16.0,16,122,1,13.8027
attention,16,16.0,16,182,1,17.611
attention,16,16.0,16,273,1,22.8373
attention,16,16.0,16,410,1,28.224
attention,16,16.0,16,615,1,34.5067
attention,16,16.0,16,923,1,50.4213
attention,16,16.0,16,1384,1,67.5733
attention,16,16.0,16,2076,1,98.7107
attention,16,16.0,16,3114,1,141.217
attention,16,16.0,16,4671,1,204.513
attention,16,16.0,16,7006,1,305.132
attention,16,16.0,16,10509,1,465.655
attention,16,16.0,16,15764,1,696.76
attention,16,16.0,16,16384,1,726.05
attention,16,16.0,32,16,1,17.0133
attention,16,16.0,32,24,1,17.0453
attention,16,16.0,32,36,1,17.2057
attention,16,16.0,32,54,1,17.4403
attention,16,16.0,32,81,1,17.8993
attention,16,16.0,32,122,1,18.5167
attention,16,16.0,32,182,1,25.6957
attention,16,16.0,32,273,1,33.291
attention,16,16.0,32,410,1,41.568
attention,16,16.0,32,615,1,51.6587
attention,16,16.0,32,923,1,75.3603
attention,16,16.0,32,1384,1,100.843
attention,16,16.0,32,2076,1,147.968
attention,16,16.0,32,3114,1,213.249
attention,16,16.0,32,4671,1,317.569
attention,16,16.0,32,7006,1,482.872
attention,16,16.0,32,10509,1,726.137
attention,16,16.0,32,15764,1,1079.36
attention,16,16.0,32,16384,1,1121.78
attention,16,16.0,64,16,1,29.4827
attention,16,16.0,64,24,1,29.8667
attention,16,16.0,64,36,1,30.102
attention,16,16.0,64,54,1,30.4427
attention,16,16.0,64,81,1,31.275
attention,16,16.0,64,122,1,32.7997
attention,16,16.0,64,182,1,47.008
attention,16,16.0,64,273,1,63.2963
attention,16,16.0,64,410,1,79.7227
attention,16,16.0,64,615,1,98.4007
attention,16,16.0,64,923,1,148.139
attention,16,16.0,64,1384,1,196.289
attention,16,16.0,64,2076,1,294.817
attention,16,16.0,64,3114,1,516.888
attention,16,16.0,64,4671,1,832.111
attention,16,16.0,64,7006,1,1253.39
attention,16,16.0,64,10509,1,1880.85
attention,16,16.0,64,15764,1,2887.81
attention,16,16.0,64,16384,1,2954.61
attention,16,16.0,128,16,1,51.1467
attention,16,16.0,128,24,1,51.5407
attention,16,16.0,128,36,1,52.16
attention,16,16.0,128,54,1,53.408
attention,16,16.0,128,81,1,55.6907
attention,16,16.0,128,122,1,60.6617
attention,16,16.0,128,182,1,89.3123
attention,16,16.0,128,273,1,122.721
attention,16,16.0,128,410,1,161.74
attention,16,16.0,128,615,1,205.825
attention,16,16.0,128,923,1,307.521
attention,16,16.0,128,1384,1,424.695
attention,16,16.0,128,2076,1,777.327
attention,16,16.0,128,3114,1,1591.77
attention,16,16.0,128,4671,1,2441.54
attention,16,16.0,128,7006,1,3652.22
attention,16,16.0,128,10509,1,5572.37
attention,16,16.0,128,15764,1,9852.94
attention,16,16.0,128,16384,1,10310.5
attention,16,24.0,0,0,1,8.64033
attention,16,24.0,1,16,1,8.56567
attention,16,24.0,1,24,1,8.51267
attention,16,24.0,1,36,1,8.64
attention,16,24.0,1,54,1,8.61833
attention,16,24.0,1,81,1,8.48033
attention,16,24.0,1,122,1,8.62933
attention,16,24.0,1,182,1,10.358
attention,16,24.0,1,273,1,12.9817
attention,16,24.0,1,410,1,15.3917
attention,16,24.0,1,615,1,18.2187
attention,16,24.0,1,923,1,25.76
attention,16,24.0,1,1384,1,33.6103
attention,16,24.0,1,2076,1,49.0243
attention,16,24.0,1,3114,1,69.7493
attention,16,24.0,1,4671,1,100.758
attention,16,24.0,1,7006,1,147.628
attention,16,24.0,1,10509,1,219.692
attention,16,24.0,1,15764,1,325.697
attention,16,24.0,1,16384,1,338.412
attention,16,24.0,2,16,1,8.55433
attention,16,24.0,2,24,1,8.56533
attention,16,24.0,2,36,1,8.61867
attention,16,24.0,2,54,1,8.43733
attention,16,24.0,2,81,1,8.58633
attention,16,24.0,2,122,1,8.491
attention,16,24.0,2,182,1,10.3577
attention,16,24.0,2,273,1,12.981
attention,16,24.0,2,410,1,15.4027
attention,16,24.0,2,615,1,18.2613
attention,16,24.0,2,923,1,25.739
attention,16,24.0,2,1384,1,33.738
attention,16,24.0,2,2076,1,48.9707
attention,16,24.0,2,3114,1,69.7713
attention,16,24.0,2,4671,1,100.94
attention,16,24.0,2,7006,1,147.862
attention,16,24.0,2,10509,1,220.022
attention,16,24.0,2,15764,1,325.974
attention,16,24.0,2,16384,1,338.85
attention,16,24.0,4,16,1,8.29867
attention,16,24.0,4,24,1,8.29833
attention,16,24.0,4,36,1,8.373
attention,16,24.0,4,54,1,8.363
attention,16,24.0,4,81,1,8.55433
attention,16,24.0,4,122,1,8.45867
attention,16,24.0,4,182,1,10.2507
attention,16,24.0,4,273,1,12.8427
attention,16,24.0,4,410,1,15.328
attention,16,24.0,4,615,1,18.24
attention,16,24.0,4,923,1,25.7063
attention,16,24.0,4,1384,1,33.835
attention,16,24.0,4,2076,1,49.2913
attention,16,24.0,4,3114,1,70.1763
attention,16,24.0,4,4671,1,101.301
attention,16,24.0,4,7006,1,148.054
attention,16,24.0,4,10509,1,219.99
attention,16,24.0,4,15764,1,329.932
attention,16,24.0,4,16384,1,341.484
attention,16,24.0,8,16,1,8.416
attention,16,24.0,8,24,1,8.40533
attention,16,24.0,8,36,1,8.437
attention,16,24.0,8,54,1,8.53367
attention,16,24.0,8,81,1,8.779
attention,16,24.0,8,122,1,8.88533
attention,16,24.0,8,182,1,10.528
attention,16,24.0,8,273,1,13.0027
attention,16,24.0,8,410,1,15.7337
attention,16,24.0,8,615,1,18.7943
attention,16,24.0,8,923,1,26.6347
attention,16,24.0,8,1384,1,35.1147
attention,16,24.0,8,2076,1,50.6883
attention,16,24.0,8,3114,1,72.2037
attention,16,24.0,8,4671,1,103.755
attention,16,24.0,8,7006,1,150.944
attention,16,24.0,8,10509,1,228.62
attention,16,24.0,8,15764,1,340.108
attention,16,24.0,8,16384,1,355.821
