layer,prefill_tokens,n_decode,time_us
gdn_decode_mixed,65,16,67.6163
gdn_decode_mixed,65,32,138.592
gdn_decode_mixed,65,64,296.107
gdn_decode_mixed,65,128,708.31
gdn_decode_mixed,128,1,12.15
gdn_decode_mixed,128,2,16.672
gdn_decode_mixed,128,4,25.3337
gdn_decode_mixed,128,8,40.683
gdn_decode_mixed,128,16,68.181
gdn_decode_mixed,128,32,142.719
gdn_decode_mixed,128,64,302.421
gdn_decode_mixed,128,128,718.465
gdn_decode_mixed,129,1,12.1493
gdn_decode_mixed,129,2,16.5113
gdn_decode_mixed,129,4,25.035
gdn_decode_mixed,129,8,40.4157
gdn_decode_mixed,129,16,69.0457
gdn_decode_mixed,129,32,142.849
gdn_decode_mixed,129,64,302.22
gdn_decode_mixed,129,128,720.31
gdn_decode_mixed,256,1,12.394
gdn_decode_mixed,256,2,16.7673
gdn_decode_mixed,256,4,26.24
gdn_decode_mixed,256,8,44.4277
gdn_decode_mixed,256,16,78.1233
gdn_decode_mixed,256,32,150.614
gdn_decode_mixed,256,64,312.096
gdn_decode_mixed,256,128,734.71
gdn_decode_mixed,257,1,12.2457
gdn_decode_mixed,257,2,16.4157
gdn_decode_mixed,257,4,25.173
gdn_decode_mixed,257,8,43.1893
gdn_decode_mixed,257,16,77.089
gdn_decode_mixed,257,32,150.432
gdn_decode_mixed,257,64,307.851
gdn_decode_mixed,257,128,735.18
gdn_decode_mixed,512,1,13.227
gdn_decode_mixed,512,2,18.6663
gdn_decode_mixed,512,4,32.629
gdn_decode_mixed,512,8,51.1363
gdn_decode_mixed,512,16,85.9527
gdn_decode_mixed,512,32,158.507
gdn_decode_mixed,512,64,321.589
gdn_decode_mixed,512,128,740.95
gdn_decode_mixed,513,1,13.312
gdn_decode_mixed,513,2,19.2957
gdn_decode_mixed,513,4,31.168
gdn_decode_mixed,513,8,50.1333
gdn_decode_mixed,513,16,84.3517
gdn_decode_mixed,513,32,156.672
gdn_decode_mixed,513,64,320.128
gdn_decode_mixed,513,128,741.42
gdn_decode_mixed,1024,1,13.8457
gdn_decode_mixed,1024,2,18.7093
gdn_decode_mixed,1024,4,30.4323
gdn_decode_mixed,1024,8,48.5873
gdn_decode_mixed,1024,16,84.469
gdn_decode_mixed,1024,32,154.816
gdn_decode_mixed,1024,64,333.451
gdn_decode_mixed,1024,128,755.905
gdn_decode_mixed,1025,1,14.0263
gdn_decode_mixed,1025,2,18.7513
gdn_decode_mixed,1025,4,30.0053
gdn_decode_mixed,1025,8,48.6087
gdn_decode_mixed,1025,16,84.1823
gdn_decode_mixed,1025,32,152.789
gdn_decode_mixed,1025,64,333.312
gdn_decode_mixed,1025,128,757.484
gdn_decode_mixed,2048,1,15.147
gdn_decode_mixed,2048,2,20.853
gdn_decode_mixed,2048,4,33.141
gdn_decode_mixed,2048,8,52.747
gdn_decode_mixed,2048,16,86.9227
gdn_decode_mixed,2048,32,159.232
gdn_decode_mixed,2048,64,352.469
gdn_decode_mixed,2048,128,770.103
gdn_post_conv,16,0,5.25833
gdn_post_conv,16,1,5.19433
gdn_post_conv,16,2,5.38633
gdn_post_conv,16,4,5.12
gdn_post_conv,16,8,5.34367
gdn_post_conv,16,16,5.32267
gdn_post_conv,16,32,5.14167
gdn_post_conv,16,64,5.71733
gdn_post_conv,16,128,5.206
gdn_post_conv,32,0,5.06633
gdn_post_conv,32,1,5.099
gdn_post_conv,32,2,5.26933
gdn_post_conv,32,4,5.035
gdn_post_conv,32,8,5.03467
gdn_post_conv,32,16,5.03433
