layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,0,0,1,16,1,27.167
attention,0,0,1,32,1,27.36
attention,0,0,1,64,1,38.241
attention,0,0,1,128,1,39.425
attention,0,0,1,256,1,40.704
attention,0,0,1,512,1,43.2
attention,0,0,1,1024,1,49.055
attention,0,0,1,2048,1,60.194
attention,0,0,1,4096,1,83.902
attention,0,0,1,8192,1,100.928
attention,0,0,1,16384,1,143.998
attention,0,0,2,16,1,40.96
attention,0,0,2,32,1,41.057
attention,0,0,2,64,1,49.282
attention,0,0,2,128,1,50.144
attention,0,0,2,256,1,51.777
attention,0,0,2,512,1,54.239
attention,0,0,2,1024,1,63.039
attention,0,0,2,2048,1,78.53
attention,0,0,2,4096,1,113.153
attention,0,0,2,8192,1,148.802
attention,0,0,2,16384,1,225.246
attention,0,0,4,16,1,40.8
attention,0,0,4,32,1,41.408
attention,0,0,4,64,1,49.375
attention,0,0,4,128,1,50.497
attention,0,0,4,256,1,52.799
attention,0,0,4,512,1,58.401
attention,0,0,4,1024,1,70.367
attention,0,0,4,2048,1,97.566
attention,0,0,4,4096,1,130.049
attention,0,0,4,8192,1,202.72
attention,0,0,4,16384,1,334.111
attention,0,0,8,16,1,41.824
attention,0,0,8,32,1,41.825
attention,0,0,8,64,1,50.371
attention,0,0,8,128,1,52
attention,0,0,8,256,1,55.422
attention,0,0,8,512,1,65.889
attention,0,0,8,1024,1,89.151
attention,0,0,8,2048,1,122.944
attention,0,0,8,4096,1,193.854
attention,0,0,8,8192,1,327.043
attention,0,0,8,16384,1,595.81
attention,0,0,16,16,1,42.272
attention,0,0,16,32,1,43.52
attention,0,0,16,64,1,51.585
attention,0,0,16,128,1,54.878
attention,0,0,16,256,1,64.799
attention,0,0,16,512,1,85.346
attention,0,0,16,1024,1,118.593
attention,0,0,16,2048,1,192.093
attention,0,0,16,4096,1,326.339
attention,0,0,16,8192,1,592.928
attention,0,0,16,16384,1,1136.61
attention,0,0,32,16,1,42.944
attention,0,0,32,32,1,43.969
attention,0,0,32,64,1,54.496
attention,0,0,32,128,1,66.53
attention,0,0,32,256,1,85.631
attention,0,0,32,512,1,116.705
attention,0,0,32,1024,1,188.415
attention,0,0,32,2048,1,330.303
attention,0,0,32,4096,1,595.072
attention,0,0,32,8192,1,1131.07
attention,0,0,32,16384,1,2178.69
attention,0,0,64,16,1,44.162
attention,0,0,64,32,1,47.362
attention,0,0,64,64,1,68.065
attention,0,0,64,128,1,84.319
attention,0,0,64,256,1,119.585
attention,0,0,64,512,1,195.457
attention,0,0,64,1024,1,340.865
attention,0,0,64,2048,1,627.426
attention,0,0,64,4096,1,1148.42
attention,0,0,64,8192,1,2204.8
attention,0,0,64,16384,1,4307.65
attention,0,0,128,16,1,57.922
attention,0,0,128,32,1,62.623
attention,0,0,128,64,1,83.04
attention,0,0,128,128,1,119.424
attention,0,0,128,256,1,200.481
attention,0,0,128,512,1,344.546
attention,0,0,128,1024,1,634.272
attention,0,0,128,2048,1,1186.12
attention,0,0,128,4096,1,2238.63
attention,0,0,128,8192,1,4331.78
attention,0,0,128,16384,1,8518.61
attention,0,0,256,16,1,79.648
attention,0,0,256,32,1,90.305
attention,0,0,256,64,1,134.273
attention,0,0,256,128,1,217.668
attention,0,0,256,256,1,374.561
attention,0,0,256,512,1,660.991
attention,0,0,256,1024,1,1186.05
attention,0,0,256,2048,1,2228.61
attention,0,0,256,4096,1,4322.76
attention,0,0,256,8192,1,8549.84
attention,0,0,256,16384,1,16988.9
attention,16,0,0,0,1,29.151
attention,16,0,1,16,1,29.055
attention,16,0,1,32,1,29.249
attention,16,0,1,64,1,33.984
attention,16,0,1,128,1,41.76
attention,16,0,1,256,1,56.066
attention,16,0,1,512,1,86.208
attention,16,0,1,1024,1,146.561
attention,16,0,1,2048,1,267.583
attention,16,0,1,4096,1,506.753
attention,16,0,1,8192,1,988.546
attention,16,0,1,16384,1,1949.35
attention,16,0,2,16,1,29.088
attention,16,0,2,32,1,28.96
attention,16,0,2,64,1,33.759
attention,16,0,2,128,1,41.31
attention,16,0,2,256,1,56.097
attention,16,0,2,512,1,86.368
attention,16,0,2,1024,1,146.272
attention,16,0,2,2048,1,267.36
attention,16,0,2,4096,1,507.616
attention,16,0,2,8192,1,992.162
attention,16,0,2,16384,1,1955.08
attention,16,0,4,16,1,28.672
attention,16,0,4,32,1,28.289
attention,16,0,4,64,1,33.12
attention,16,0,4,128,1,41.248
attention,16,0,4,256,1,55.935
attention,16,0,4,512,1,85.984
