time_duration	prompt_throughput	generation_throughput
0.5	64	26
1.0	166	112
1.5	192	138
2.0	270	204
2.5	262	314
3.0	360	290
3.5	70	474
4.0	212	194
4.5	294	218
5.0	414	412
5.5	148	514
6.0	356	340
6.5	550	376
7.0	112	576
7.5	182	560
8.0	314	500
8.5	54	550
9.0	236	562
9.5	226	578
10.0	0	702
10.5	0	758
11.0	0	606
11.5	0	674
12.0	0	612
12.5	0	542
13.0	0	530
13.5	0	454
14.0	0	460
14.5	0	398
15.0	0	328
15.5	0	244
16.0	0	148
16.5	0	18
