time_duration	prompt_throughput	generation_throughput
0.5	64	12
1.0	130	68
1.5	228	100
2.0	270	154
2.5	262	218
3.0	274	232
3.5	136	372
4.0	232	198
4.5	512	226
5.0	196	340
5.5	130	442
6.0	278	272
6.5	646	412
7.0	14	532
7.5	280	550
8.0	304	442
8.5	64	476
9.0	236	604
9.5	226	506
10.0	0	640
10.5	0	722
11.0	0	590
11.5	0	556
12.0	0	614
12.5	0	588
13.0	0	452
13.5	0	496
14.0	0	448
14.5	0	446
15.0	0	334
15.5	0	344
16.0	0	274
16.5	0	256
17.0	0	228
17.5	0	154
18.0	0	92
18.5	0	22
