time_duration	prompt_throughput	generation_throughput
0.5	64	134
1.0	166	396
1.5	192	484
2.0	306	518
2.5	346	590
3.0	240	682
3.5	70	726
4.0	394	586
4.5	494	598
5.0	32	752
5.5	148	606
6.0	710	378
6.5	196	658
7.0	200	620
7.5	152	656
8.0	276	628
8.5	210	680
9.0	82	768
9.5	204	738
10.0	0	782
10.5	0	710
11.0	0	574
11.5	0	148
