prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,4,64,15.4333
16,16,4,128,21.556
16,16,4,256,29.4497
16,16,4,512,42.013
16,16,4,1024,57.982
16,16,4,2048,89.382
16,16,4,4096,152.399
16,16,4,8192,276.747
16,16,4,16384,528.45
16,16,8,16,20.3947
16,16,8,32,20.638
16,16,8,64,21.0547
16,16,8,128,30.794
16,16,8,256,42.5573
16,16,8,512,58.4287
16,16,8,1024,89.525
16,16,8,2048,152.511
16,16,8,4096,278.656
16,16,8,8192,532.298
16,16,8,16384,1044.67
16,16,16,16,31.0403
16,16,16,32,31.4023
16,16,16,64,32.0843
16,16,16,128,48.8403
16,16,16,256,66.8143
16,16,16,512,98.0063
16,16,16,1024,160.434
16,16,16,2048,286.965
16,16,16,4096,538.021
16,16,16,8192,1052.12
16,16,16,16384,2072.77
16,16,32,16,52.063
16,16,32,32,52.7453
16,16,32,64,53.9507
16,16,32,128,82.997
16,16,32,256,116.333
16,16,32,512,178.021
16,16,32,1024,304.556
16,16,32,2048,555.42
16,16,32,4096,1058.09
16,16,32,8192,2091.67
16,16,32,16384,4126.02
16,16,64,16,93.5327
16,16,64,32,94.5793
16,16,64,64,96.2003
16,16,64,128,158.29
16,16,64,256,230.16
16,16,64,512,365.432
16,16,64,1024,633.11
16,16,64,2048,1172.24
16,16,64,4096,2353.25
16,16,64,8192,4721.37
16,16,64,16384,12573.3
16,16,128,16,174.217
16,16,128,32,175.625
16,16,128,64,180.095
16,16,128,128,307.261
16,16,128,256,469.231
16,16,128,512,771.588
16,16,128,1024,1425.67
16,16,128,2048,4518.02
16,16,128,4096,9041.74
16,16,128,8192,18005.9
16,16,128,16384,36045.7
16,32,0,0,9.74933
16,32,1,16,9.80233
16,32,1,32,9.87667
16,32,1,64,9.92
16,32,1,128,12.8417
16,32,1,256,16.6927
16,32,1,512,24.5
16,32,1,1024,40.3283
16,32,1,2048,72.53
16,32,1,4096,136.729
16,32,1,8192,264.704
16,32,1,16384,519.975
16,32,2,16,9.84467
16,32,2,32,9.91933
16,32,2,64,10.1117
16,32,2,128,12.8957
16,32,2,256,16.8627
16,32,2,512,24.895
16,32,2,1024,40.8937
16,32,2,2048,72.8497
16,32,2,4096,137.573
16,32,2,8192,265.404
16,32,2,16384,521.014
16,32,4,16,15.1243
16,32,4,32,15.2423
16,32,4,64,15.3923
16,32,4,128,21.5343
16,32,4,256,29.4387
16,32,4,512,41.971
16,32,4,1024,57.9593
16,32,4,2048,89.5527
16,32,4,4096,151.332
16,32,4,8192,276.692
16,32,4,16384,527.395
16,32,8,16,20.4573
16,32,8,32,20.692
16,32,8,64,21.012
16,32,8,128,30.8377
16,32,8,256,42.5263
16,32,8,512,58.4823
16,32,8,1024,89.9153
16,32,8,2048,151.952
16,32,8,4096,278.922
16,32,8,8192,532.383
16,32,8,16384,1044.1
16,32,16,16,31.103
16,32,16,32,31.2523
16,32,16,64,31.999
16,32,16,128,48.8517
16,32,16,256,66.8567
16,32,16,512,97.5647
16,32,16,1024,160.665
16,32,16,2048,286.368
16,32,16,4096,536.975
16,32,16,8192,1052.79
16,32,16,16384,2074.23
16,32,32,16,52.105
16,32,32,32,52.9477
16,32,32,64,54.0683
16,32,32,128,83.3363
16,32,32,256,116.145
16,32,32,512,178.64
16,32,32,1024,304.428
16,32,32,2048,555.839
16,32,32,4096,1057.89
16,32,32,8192,2091.74
16,32,32,16384,4131.84
16,32,64,16,93.5987
16,32,64,32,94.6217
16,32,64,64,95.955
16,32,64,128,158.589
16,32,64,256,229.094
16,32,64,512,365.529
16,32,64,1024,633.734
16,32,64,2048,1172.17
16,32,64,4096,2348.11
16,32,64,8192,4757.01
16,32,64,16384,14012
16,32,128,16,174.302
16,32,128,32,175.848
16,32,128,64,179.891
16,32,128,128,309.203
16,32,128,256,470.566
16,32,128,512,774.821
16,32,128,1024,1426.46
16,32,128,2048,4523.75
16,32,128,4096,9042.94
16,32,128,8192,18044.6
16,32,128,16384,36018.3
16,64,0,0,9.78067
16,64,1,16,9.87733
16,64,1,32,9.93033
16,64,1,64,10.069
16,64,1,128,12.8417
16,64,1,256,16.7343
16,64,1,512,24.5213
16,64,1,1024,40.331
16,64,1,2048,72.545
16,64,1,4096,136.608
16,64,1,8192,264.769
16,64,1,16384,520.207
16,64,2,16,9.87633
16,64,2,32,9.97267
16,64,2,64,10.101
16,64,2,128,12.9173
16,64,2,256,16.8957
16,64,2,512,24.9473
16,64,2,1024,40.7233
16,64,2,2048,72.742
16,64,2,4096,137.539
16,64,2,8192,265.447
16,64,2,16384,521.253
16,64,4,16,15.1993
16,64,4,32,15.306
16,64,4,64,15.712
16,64,4,128,21.5883
16,64,4,256,29.5243
16,64,4,512,42.163
16,64,4,1024,58.2793
16,64,4,2048,89.35
16,64,4,4096,151.673
16,64,4,8192,276.49
16,64,4,16384,526.614
16,64,8,16,20.479
16,64,8,32,20.6393
16,64,8,64,21.1513
16,64,8,128,30.772
16,64,8,256,42.6647
16,64,8,512,58.5147
16,64,8,1024,89.4353
16,64,8,2048,152.451
16,64,8,4096,278.847
16,64,8,8192,531.649
16,64,8,16384,1044.84
16,64,16,16,31.0177
16,64,16,32,31.4227
16,64,16,64,32.042
16,64,16,128,48.8613
16,64,16,256,66.9203
16,64,16,512,98.321
16,64,16,1024,160.732
16,64,16,2048,287.024
16,64,16,4096,538.113
16,64,16,8192,1052.68
16,64,16,16384,2073.07
16,64,32,16,52.2123
16,64,32,32,52.9597
16,64,32,64,54.1323
16,64,32,128,83.0047
16,64,32,256,115.686
16,64,32,512,178.363
16,64,32,1024,304.705
16,64,32,2048,555.247
16,64,32,4096,1059.29
16,64,32,8192,2092.51
16,64,32,16384,4128.94
16,64,64,16,93.5127
16,64,64,32,94.43
16,64,64,64,96.5193
16,64,64,128,158.205
16,64,64,256,228.657
16,64,64,512,365.806
16,64,64,1024,633.791
16,64,64,2048,1169.76
16,64,64,4096,2345.16
16,64,64,8192,4766.85
16,64,64,16384,13569.8
16,64,128,16,174.206
16,64,128,32,175.764
16,64,128,64,180.158
16,64,128,128,308.158
16,64,128,256,471.132
16,64,128,512,771.046
16,64,128,1024,1429.14
16,64,128,2048,4519.33
16,64,128,4096,9038.27
16,64,128,8192,18002.4
16,64,128,16384,36039.3
16,128,0,0,13.5027
16,128,1,16,12.9277
16,128,1,32,12.9387
16,128,1,64,12.9587
16,128,1,128,13.5463
16,128,1,256,16.735
16,128,1,512,24.5117
16,128,1,1024,40.371
16,128,1,2048,72.4963
16,128,1,4096,136.729
16,128,1,8192,264.817
16,128,1,16384,520.082
16,128,2,16,12.938
16,128,2,32,12.9917
16,128,2,64,12.9703
16,128,2,128,13.6427
16,128,2,256,16.906
16,128,2,512,24.9267
16,128,2,1024,40.7887
16,128,2,2048,72.8797
16,128,2,4096,137.473
16,128,2,8192,265.721
16,128,2,16384,521.714
16,128,4,16,19.1677
16,128,4,32,19.188
16,128,4,64,19.2737
16,128,4,128,22.7403
16,128,4,256,29.7263
16,128,4,512,44.862
16,128,4,1024,69.628
16,128,4,2048,100.764
16,128,4,4096,163.768
16,128,4,8192,287.552
16,128,4,16384,536.962
16,128,8,16,24.2763
16,128,8,32,24.459
16,128,8,64,25.012
16,128,8,128,32.1153
16,128,8,256,42.6863
16,128,8,512,65.938
16,128,8,1024,97.2217
16,128,8,2048,160.024
16,128,8,4096,286.698
16,128,8,8192,541.529
16,128,8,16384,1048.66
16,128,16,16,34.74
16,128,16,32,34.9423
16,128,16,64,35.5827
16,128,16,128,50.3233
16,128,16,256,68.5067
16,128,16,512,105.692
16,128,16,1024,168.558
16,128,16,2048,294.369
16,128,16,4096,544.698
16,128,16,8192,1056.28
16,128,16,16384,2075.03
16,128,32,16,55.1763
16,128,32,32,55.4763
16,128,32,64,56.4463
16,128,32,128,86.013
16,128,32,256,118.898
16,128,32,512,182.927
16,128,32,1024,309.517
16,128,32,2048,561.797
16,128,32,4096,1063.64
16,128,32,8192,2093.21
16,128,32,16384,4129.03
16,128,64,16,93.5983
16,128,64,32,94.814
16,128,64,64,97.332
16,128,64,128,160.925
16,128,64,256,235.248
16,128,64,512,370.34
16,128,64,1024,637.589
16,128,64,2048,1169.33
16,128,64,4096,2359.1
16,128,64,8192,4781.71
16,128,64,16384,13039.2
16,128,128,16,175.188
16,128,128,32,177.087
16,128,128,64,182.473
16,128,128,128,310.419
16,128,128,256,472.22
16,128,128,512,787.823
16,128,128,1024,1431.66
16,128,128,2048,4528.39
16,128,128,4096,9034.42
16,128,128,8192,18067.1
16,128,128,16384,36031.3
16,256,0,0,17.364
16,256,1,16,16.821
16,256,1,32,16.7887
16,256,1,64,16.8737
16,256,1,128,16.842
16,256,1,256,17.4287
16,256,1,512,24.596
16,256,1,1024,40.4677
16,256,1,2048,72.5727
16,256,1,4096,136.708
16,256,1,8192,264.702
16,256,1,16384,520.248
16,256,2,16,16.8313
16,256,2,32,16.8737
16,256,2,64,16.8953
16,256,2,128,16.98
16,256,2,256,17.493
16,256,2,512,24.969
16,256,2,1024,40.8937
16,256,2,2048,72.754
16,256,2,4096,137.742
16,256,2,8192,265.717
16,256,2,16384,521.181
16,256,4,16,23.0817
16,256,4,32,23.1357
16,256,4,64,23.3157
16,256,4,128,26.8147
16,256,4,256,30.8887
16,256,4,512,45.31
16,256,4,1024,76.2943
16,256,4,2048,112.367
16,256,4,4096,174.414
16,256,4,8192,299.763
16,256,4,16384,549.588
16,256,8,16,28.2753
16,256,8,32,28.5743
16,256,8,64,28.8627
16,256,8,128,35.9873
16,256,8,256,44.212
16,256,8,512,65.9607
16,256,8,1024,105.084
16,256,8,2048,167.673
16,256,8,4096,294.537
16,256,8,8192,549.402
16,256,8,16384,1052.98
16,256,16,16,38.7293
16,256,16,32,38.996
16,256,16,64,39.7957
16,256,16,128,53.9607
16,256,16,256,69.992
16,256,16,512,107.017
16,256,16,1024,176.078
16,256,16,2048,302.452
16,256,16,4096,553.764
16,256,16,8192,1060.37
16,256,16,16384,2078.19
16,256,32,16,59.486
16,256,32,32,60.2033
16,256,32,64,61.1177
16,256,32,128,89.352
16,256,32,256,121.458
16,256,32,512,186.191
16,256,32,1024,314.222
16,256,32,2048,565.734
16,256,32,4096,1068.63
16,256,32,8192,2099.22
16,256,32,16384,4132.67
16,256,64,16,99.7743
16,256,64,32,100.382
16,256,64,64,102.569
16,256,64,128,160.893
16,256,64,256,239.269
16,256,64,512,374.895
16,256,64,1024,642.273
16,256,64,2048,1171.54
16,256,64,4096,2341.63
16,256,64,8192,4726.22
16,256,64,16384,10700.8
16,256,128,16,178.729
16,256,128,32,180.863
16,256,128,64,185.864
16,256,128,128,312.765
16,256,128,256,472.349
16,256,128,512,796.635
16,256,128,1024,1440.39
16,256,128,2048,4524.09
16,256,128,4096,9045.36
16,256,128,8192,18007.7
16,256,128,16384,36035.2
16,512,0,0,25.0337
