layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,16,0,32,32,1,85.408
attention,16,0,32,64,1,118.751
attention,16,0,32,128,1,160.224
attention,16,0,32,256,1,237.376
attention,16,0,32,512,1,391.905
attention,16,0,32,1024,1,702.432
attention,16,0,32,2048,1,1320.23
attention,16,0,32,4096,1,2553.93
attention,16,0,32,8192,1,5002.83
attention,16,0,32,16384,1,9875.54
attention,16,0,64,16,1,139.903
attention,16,0,64,32,1,142.655
attention,16,0,64,64,1,206.624
attention,16,0,64,128,1,280.674
attention,16,0,64,256,1,417.218
attention,16,0,64,512,1,714.466
attention,16,0,64,1024,1,1300
attention,16,0,64,2048,1,2622.95
attention,16,0,64,4096,1,5278.89
attention,16,0,64,8192,1,10289.8
attention,16,0,64,16384,1,20384
attention,16,0,128,16,1,251.072
attention,16,0,128,32,1,257.441
attention,16,0,128,64,1,390.114
attention,16,0,128,128,1,573.41
attention,16,0,128,256,1,895.938
attention,16,0,128,512,1,1564.58
attention,16,0,128,1024,1,3144.29
attention,16,0,128,2048,1,9354.74
attention,16,0,128,4096,1,18321.8
attention,16,0,128,8192,1,46262.5
attention,16,0,128,16384,1,97098.9
attention,16,16,0,0,1,29.441
attention,16,16,1,16,1,29.249
attention,16,16,1,32,1,29.28
attention,16,16,1,64,1,33.728
attention,16,16,1,128,1,41.344
attention,16,16,1,256,1,56.865
attention,16,16,1,512,1,86.591
attention,16,16,1,1024,1,146.463
attention,16,16,1,2048,1,267.2
attention,16,16,1,4096,1,508.834
attention,16,16,1,8192,1,994.274
attention,16,16,1,16384,1,1958.05
attention,16,16,2,16,1,28.417
attention,16,16,2,32,1,28.801
attention,16,16,2,64,1,33.28
attention,16,16,2,128,1,41.249
attention,16,16,2,256,1,56.031
attention,16,16,2,512,1,86.306
attention,16,16,2,1024,1,146.881
attention,16,16,2,2048,1,268.353
attention,16,16,2,4096,1,507.33
attention,16,16,2,8192,1,993.281
attention,16,16,2,16384,1,1958.12
attention,16,16,4,16,1,28.545
attention,16,16,4,32,1,29.246
attention,16,16,4,64,1,33.504
attention,16,16,4,128,1,41.152
attention,16,16,4,256,1,56.383
attention,16,16,4,512,1,86.56
attention,16,16,4,1024,1,147.104
attention,16,16,4,2048,1,268.96
attention,16,16,4,4096,1,512.352
attention,16,16,4,8192,1,996.514
attention,16,16,4,16384,1,1972.48
attention,16,16,8,16,1,42.882
attention,16,16,8,32,1,43.776
attention,16,16,8,64,1,53.76
attention,16,16,8,128,1,70.559
attention,16,16,8,256,1,100.736
attention,16,16,8,512,1,162.784
attention,16,16,8,1024,1,285.665
attention,16,16,8,2048,1,532.321
attention,16,16,8,4096,1,1016.1
attention,16,16,8,8192,1,1990.85
attention,16,16,8,16384,1,3953.45
attention,16,16,16,16,1,56.735
attention,16,16,16,32,1,56.929
attention,16,16,16,64,1,75.552
attention,16,16,16,128,1,100.384
attention,16,16,16,256,1,146.689
attention,16,16,16,512,1,239.393
attention,16,16,16,1024,1,424.482
attention,16,16,16,2048,1,790.018
attention,16,16,16,4096,1,1523.27
attention,16,16,16,8192,1,2998.05
attention,16,16,16,16384,1,5927.24
attention,16,16,32,16,1,83.936
attention,16,16,32,32,1,86.113
attention,16,16,32,64,1,119.328
attention,16,16,32,128,1,159.711
attention,16,16,32,256,1,237.698
attention,16,16,32,512,1,391.649
attention,16,16,32,1024,1,698.562
attention,16,16,32,2048,1,1309.57
attention,16,16,32,4096,1,2545
attention,16,16,32,8192,1,4980.68
attention,16,16,32,16384,1,9861.78
attention,16,16,64,16,1,140.992
attention,16,16,64,32,1,143.392
attention,16,16,64,64,1,206.497
attention,16,16,64,128,1,280.417
attention,16,16,64,256,1,422.817
attention,16,16,64,512,1,714.463
attention,16,16,64,1024,1,1295.71
attention,16,16,64,2048,1,2618.89
attention,16,16,64,4096,1,5279.75
attention,16,16,64,8192,1,10290.6
attention,16,16,64,16384,1,20355.7
attention,16,16,128,16,1,252.097
attention,16,16,128,32,1,258.913
attention,16,16,128,64,1,396.481
attention,16,16,128,128,1,567.138
attention,16,16,128,256,1,904.066
attention,16,16,128,512,1,1570.24
attention,16,16,128,1024,1,3141.03
attention,16,16,128,2048,1,9341.78
attention,16,16,128,4096,1,18317.5
attention,16,16,128,8192,1,47088
attention,16,16,128,16384,1,97866.1
attention,16,32,0,0,1,29.568
attention,16,32,1,16,1,29.536
attention,16,32,1,32,1,29.12
attention,16,32,1,64,1,33.856
attention,16,32,1,128,1,41.728
attention,16,32,1,256,1,56.097
attention,16,32,1,512,1,86.592
attention,16,32,1,1024,1,147.041
attention,16,32,1,2048,1,267.776
attention,16,32,1,4096,1,508.705
attention,16,32,1,8192,1,995.01
attention,16,32,1,16384,1,1965.35
attention,16,32,2,16,1,28.641
attention,16,32,2,32,1,28.928
attention,16,32,2,64,1,33.632
attention,16,32,2,128,1,41.027
attention,16,32,2,256,1,55.872
attention,16,32,2,512,1,86.433
attention,16,32,2,1024,1,147.137
attention,16,32,2,2048,1,267.68
attention,16,32,2,4096,1,507.296
attention,16,32,2,8192,1,993.313
attention,16,32,2,16384,1,1965.76
attention,16,32,4,16,1,28.449
attention,16,32,4,32,1,28.929
attention,16,32,4,64,1,33.727
attention,16,32,4,128,1,41.312
attention,16,32,4,256,1,55.999
attention,16,32,4,512,1,86.688
attention,16,32,4,1024,1,147.744
attention,16,32,4,2048,1,268.609
attention,16,32,4,4096,1,511.362
attention,16,32,4,8192,1,997.217
attention,16,32,4,16384,1,1968.23
attention,16,32,8,16,1,43.041
attention,16,32,8,32,1,43.232
attention,16,32,8,64,1,53.569
attention,16,32,8,128,1,70.306
attention,16,32,8,256,1,101.056
attention,16,32,8,512,1,162.623
attention,16,32,8,1024,1,285.858
attention,16,32,8,2048,1,531.616
attention,16,32,8,4096,1,1017.54
attention,16,32,8,8192,1,1993.83
attention,16,32,8,16384,1,3944.84
attention,16,32,16,16,1,57.024
attention,16,32,16,32,1,57.601
attention,16,32,16,64,1,75.392
attention,16,32,16,128,1,100.224
attention,16,32,16,256,1,146.017
attention,16,32,16,512,1,239.008
attention,16,32,16,1024,1,425.825
attention,16,32,16,2048,1,789.633
attention,16,32,16,4096,1,1525.67
attention,16,32,16,8192,1,2995.01
attention,16,32,16,16384,1,5942.8
attention,16,32,32,16,1,85.088
attention,16,32,32,32,1,86.303
attention,16,32,32,64,1,118.881
attention,16,32,32,128,1,160.482
attention,16,32,32,256,1,238.37
attention,16,32,32,512,1,392.64
attention,16,32,32,1024,1,698.083
attention,16,32,32,2048,1,1306.95
attention,16,32,32,4096,1,2542.57
attention,16,32,32,8192,1,5005.51
attention,16,32,32,16384,1,9872.73
attention,16,32,64,16,1,140.384
attention,16,32,64,32,1,142.625
attention,16,32,64,64,1,206.143
attention,16,32,64,128,1,280.994
attention,16,32,64,256,1,422.594
attention,16,32,64,512,1,714.752
attention,16,32,64,1024,1,1296.61
attention,16,32,64,2048,1,2617.35
attention,16,32,64,4096,1,5281.77
attention,16,32,64,8192,1,10287.6
attention,16,32,64,16384,1,20373.9
attention,16,32,128,16,1,252.287
attention,16,32,128,32,1,258.817
attention,16,32,128,64,1,396.479
attention,16,32,128,128,1,567.65
attention,16,32,128,256,1,904.13
attention,16,32,128,512,1,1563.55
attention,16,32,128,1024,1,3144.84
attention,16,32,128,2048,1,9360.79
attention,16,32,128,4096,1,18322.8
attention,16,32,128,8192,1,46485.4
attention,16,32,128,16384,1,97519
attention,16,64,0,0,1,36.512
attention,16,64,1,16,1,34.144
attention,16,64,1,32,1,34.304
attention,16,64,1,64,1,36.256
attention,16,64,1,128,1,41.47
attention,16,64,1,256,1,56.128
attention,16,64,1,512,1,86.464
attention,16,64,1,1024,1,146.56
attention,16,64,1,2048,1,268.191
attention,16,64,1,4096,1,510.305
attention,16,64,1,8192,1,994.401
attention,16,64,1,16384,1,1960.61
attention,16,64,2,16,1,33.76
attention,16,64,2,32,1,33.919
attention,16,64,2,64,1,36.161
attention,16,64,2,128,1,41.055
attention,16,64,2,256,1,55.841
attention,16,64,2,512,1,86.497
attention,16,64,2,1024,1,146.591
attention,16,64,2,2048,1,268.416
attention,16,64,2,4096,1,508.192
attention,16,64,2,8192,1,995.585
attention,16,64,2,16384,1,1960.74
attention,16,64,4,16,1,33.92
attention,16,64,4,32,1,34.177
attention,16,64,4,64,1,35.423
attention,16,64,4,128,1,41.633
attention,16,64,4,256,1,55.84
attention,16,64,4,512,1,86.528
attention,16,64,4,1024,1,147.776
attention,16,64,4,2048,1,268.768
attention,16,64,4,4096,1,513.538
attention,16,64,4,8192,1,999.938
attention,16,64,4,16384,1,1976.42
attention,16,64,8,16,1,50.784
attention,16,64,8,32,1,51.201
attention,16,64,8,64,1,57.216
attention,16,64,8,128,1,69.696
attention,16,64,8,256,1,99.743
attention,16,64,8,512,1,162.176
attention,16,64,8,1024,1,285.92
attention,16,64,8,2048,1,528.705
attention,16,64,8,4096,1,1015.46
attention,16,64,8,8192,1,1990.4
attention,16,64,8,16384,1,3941.35
attention,16,64,16,16,1,64.545
attention,16,64,16,32,1,64.097
attention,16,64,16,64,1,78.463
attention,16,64,16,128,1,99.872
attention,16,64,16,256,1,146.817
attention,16,64,16,512,1,238.368
attention,16,64,16,1024,1,425.505
attention,16,64,16,2048,1,788.547
attention,16,64,16,4096,1,1526.43
attention,16,64,16,8192,1,3002.79
attention,16,64,16,16384,1,5931.4
attention,16,64,32,16,1,92.639
attention,16,64,32,32,1,93.983
attention,16,64,32,64,1,122.21
attention,16,64,32,128,1,160.031
attention,16,64,32,256,1,237.634
attention,16,64,32,512,1,392.833
attention,16,64,32,1024,1,699.039
attention,16,64,32,2048,1,1311.9
attention,16,64,32,4096,1,2545.32
attention,16,64,32,8192,1,5003.75
attention,16,64,32,16384,1,9865.17
