layer,prefill_tokens,n_decode,time_us
gdn_conv_decode,0,1,1.02744
gdn_conv_decode,0,2,2.22556
gdn_conv_decode,0,4,2.20444
gdn_conv_decode,0,8,2.34667
gdn_conv_decode,0,16,2.76644
gdn_conv_decode,0,32,3.64467
gdn_conv_decode,0,64,5.50733
gdn_conv_decode,0,128,8.43033
gdn_conv_decode,0,256,14.5033
gdn_conv_prefill,16,0,1.37956
gdn_conv_prefill,16,1,3.21078
gdn_conv_prefill,16,2,3.23922
gdn_conv_prefill,16,4,3.186
gdn_conv_prefill,16,8,3.33522
gdn_conv_prefill,16,16,3.68
gdn_conv_prefill,16,32,4.76056
gdn_conv_prefill,16,64,6.50322
gdn_conv_prefill,16,128,9.586
gdn_conv_prefill,32,0,1.43633
gdn_conv_prefill,32,1,3.21778
gdn_conv_prefill,32,2,3.11467
gdn_conv_prefill,32,4,3.24633
gdn_conv_prefill,32,8,3.32811
gdn_conv_prefill,32,16,3.65489
gdn_conv_prefill,32,32,4.72889
gdn_conv_prefill,32,64,6.63467
gdn_conv_prefill,32,128,9.64633
gdn_conv_prefill,64,0,1.55733
gdn_conv_prefill,64,1,3.21778
gdn_conv_prefill,64,2,3.15356
gdn_conv_prefill,64,4,3.20378
gdn_conv_prefill,64,8,3.26756
gdn_conv_prefill,64,16,3.666
gdn_conv_prefill,64,32,4.704
gdn_conv_prefill,64,64,6.50311
gdn_conv_prefill,64,128,9.61067
gdn_conv_prefill,65,0,1.61811
gdn_conv_prefill,65,1,3.239
gdn_conv_prefill,65,2,3.24278
gdn_conv_prefill,65,4,3.24256
gdn_conv_prefill,65,8,3.42756
gdn_conv_prefill,65,16,3.81567
gdn_conv_prefill,65,32,4.64711
gdn_conv_prefill,65,64,6.688
gdn_conv_prefill,65,128,9.66767
gdn_conv_prefill,128,0,1.90222
gdn_conv_prefill,128,1,3.28522
gdn_conv_prefill,128,2,3.31022
gdn_conv_prefill,128,4,3.24267
gdn_conv_prefill,128,8,3.44889
gdn_conv_prefill,128,16,3.84356
gdn_conv_prefill,128,32,4.83544
gdn_conv_prefill,128,64,6.78756
gdn_conv_prefill,128,128,9.96278
gdn_conv_prefill,129,0,1.94489
gdn_conv_prefill,129,1,3.27467
gdn_conv_prefill,129,2,3.26044
gdn_conv_prefill,129,4,3.31378
gdn_conv_prefill,129,8,3.474
gdn_conv_prefill,129,16,3.82578
gdn_conv_prefill,129,32,4.85311
gdn_conv_prefill,129,64,6.83044
gdn_conv_prefill,129,128,9.85967
gdn_conv_prefill,256,0,2.54922
gdn_conv_prefill,256,1,3.22833
gdn_conv_prefill,256,2,3.23544
gdn_conv_prefill,256,4,3.28178
gdn_conv_prefill,256,8,3.34222
gdn_conv_prefill,256,16,3.75467
gdn_conv_prefill,256,32,4.921
gdn_conv_prefill,256,64,6.496
gdn_conv_prefill,256,128,10.0731
gdn_conv_prefill,257,0,2.57422
gdn_conv_prefill,257,1,3.27111
gdn_conv_prefill,257,2,3.21767
gdn_conv_prefill,257,4,3.31733
gdn_conv_prefill,257,8,3.40289
gdn_conv_prefill,257,16,3.72978
gdn_conv_prefill,257,32,5.01333
gdn_conv_prefill,257,64,6.49967
gdn_conv_prefill,257,128,10.2222
gdn_conv_prefill,512,0,3.85778
gdn_conv_prefill,512,1,3.80078
gdn_conv_prefill,512,2,3.96778
gdn_conv_prefill,512,4,4.18467
gdn_conv_prefill,512,8,4.36644
gdn_conv_prefill,512,16,4.736
gdn_conv_prefill,512,32,5.767
gdn_conv_prefill,512,64,7.52367
gdn_conv_prefill,512,128,11.911
gdn_conv_prefill,513,0,3.77244
gdn_conv_prefill,513,1,3.93233
gdn_conv_prefill,513,2,3.99644
gdn_conv_prefill,513,4,4.04267
gdn_conv_prefill,513,8,4.31656
gdn_conv_prefill,513,16,4.75733
gdn_conv_prefill,513,32,5.63933
gdn_conv_prefill,513,64,7.442
gdn_conv_prefill,513,128,10.9441
gdn_conv_prefill,1024,0,6.63833
gdn_conv_prefill,1024,1,6.64522
gdn_conv_prefill,1024,2,6.69522
gdn_conv_prefill,1024,4,6.79456
gdn_conv_prefill,1024,8,7.00456
gdn_conv_prefill,1024,16,7.27811
gdn_conv_prefill,1024,32,8.09956
gdn_conv_prefill,1024,64,9.76722
gdn_conv_prefill,1024,128,14.7948
gdn_conv_prefill,1025,0,6.57433
gdn_conv_prefill,1025,1,6.65244
gdn_conv_prefill,1025,2,6.62778
gdn_conv_prefill,1025,4,6.83722
gdn_conv_prefill,1025,8,7.03978
gdn_conv_prefill,1025,16,7.32122
gdn_conv_prefill,1025,32,8.25611
gdn_conv_prefill,1025,64,9.63922
gdn_conv_prefill,1025,128,14.9833
gdn_conv_prefill,2048,0,11.9612
gdn_conv_prefill,2048,1,11.7158
gdn_conv_prefill,2048,2,11.776
gdn_conv_prefill,2048,4,11.9858
gdn_conv_prefill,2048,8,12.2561
gdn_conv_prefill,2048,16,12.3913
gdn_conv_prefill,2048,32,13.1877
gdn_conv_prefill,2048,64,14.7021
gdn_conv_prefill,2048,128,18.7127
