time_s	power_w
0	387
1	571
2	677
3	672
4	674
5	686
6	685
7	687
8	682
9	684
10	690
11	690
12	666
13	500
14	462
15	453
16	448
17	446
18	441
19	442
20	444
21	444
22	444
23	444
24	445
25	445
26	445
27	445
28	443
29	434
30	394
31	385
32	386
33	385
34	383
35	384
36	384
37	384
38	384
39	384
40	382
41	382
42	383
43	383
44	382
45	382
46	380
47	379
48	380
49	382
50	383
51	381
52	380
53	380
54	379
55	380
56	381
57	381
58	382
59	378
60	400
61	615
62	684
63	684
64	688
65	687
66	688
67	688
68	687
69	690
70	691
71	694
72	693
73	607
74	476
75	465
76	454
77	448
78	450
79	446
80	445
81	447
82	446
83	448
84	448
85	448
86	448
87	447
88	446
89	446
90	437
91	394
92	388
93	387
94	386
95	386
96	385
97	385
98	386
99	385
100	384
101	384
102	383
103	382
104	383
105	383
106	382
107	382
108	382
109	381
110	382
111	382
112	380
113	381
114	381
115	380
116	382
117	380
118	380
119	381
120	418
121	629
122	684
123	685
124	689
125	688
126	689
127	690
128	690
129	690
130	692
131	693
132	693
133	693
134	694
135	693
136	577
