sec,power
0,377
1,378
2,379
3,378
4,378
5,378
6,377
7,376
8,377
9,379
10,378
11,377
12,377
13,377
14,378
15,378
16,377
17,377
18,377
19,376
20,370
21,374
22,427
23,443
24,414
25,392
26,384
27,380
28,387
29,394
30,389
31,388
32,400
33,388
34,382
35,379
36,382
37,403
38,391
39,387
40,392
41,394
42,388
43,392
44,396
45,396
46,396
47,397
48,401
49,480
50,503
51,506
52,502
53,511
54,518
55,514
56,505
57,507
58,506
59,506
60,508
61,506
62,508
63,511
64,515
65,522
66,538
67,628
68,586
69,535
70,522
71,519
72,519
73,514
74,505
75,508
76,513
77,514
78,515
79,515
80,515
81,514
82,516
83,517
84,510
85,440
86,404
87,402
88,403
89,402
90,403
91,403
92,402
93,404
94,409
95,419
96,418
97,418
98,419
99,408
100,402
101,410
102,419
103,415
104,402
105,400
106,402
107,402
108,402
117,402
118,404
119,403
120,403
121,415
122,409
123,408
124,409
125,421
126,409
127,408
128,771
129,914
130,922
131,925
132,924
133,914
134,872
135,748
136,552
137,535
138,530
139,528
140,525
141,518
142,517
143,523
144,525
145,523
146,525
147,524
148,524
149,525
150,524
151,517
152,437
153,408
154,407
155,406
156,406
157,406
158,406
159,407
160,406
161,406
162,406
163,404
164,406
165,406
166,405
167,405
168,406
169,405
170,404
171,404
172,404
173,404
174,404
175,405
176,404
177,405
178,405
179,404
180,405
181,404
182,403
183,404
184,403
185,404
186,405
187,432
188,790
189,922
190,928
191,928
192,926
193,914
194,910
195,844
196,586
197,549
198,535
199,534
200,533
201,525
202,521
203,525
204,531
205,529
206,529
207,530
208,530
209,530
210,530
211,529
212,486
213,419
214,401
215,408
216,408
217,408
218,407
219,409
220,408
221,407
222,408
223,407
224,406
225,407
226,407
227,407
228,407
229,406
230,407
231,407
232,407
233,407
234,405
235,406
236,405
237,405
238,406
239,405
240,406
241,404
242,405
243,405
244,404
245,404
246,405
247,437
248,825
249,926
250,926
251,926
252,921
253,920
254,918
255,912
256,913
257,822
258,571
259,550
260,539
261,540
262,540
263,529
264,530
265,534
266,536
267,538
268,536
269,537
270,538
271,536
272,536
273,528
274,445
275,414
276,412
277,410
278,410
279,410
280,410
281,410
282,410
283,409
284,409
285,409
286,408
287,409
288,408
