layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,16,0,16,16384,1,5879.39
attention,16,0,32,16,1,157.632
attention,16,0,32,32,1,159.114
attention,16,0,32,64,1,162.933
attention,16,0,32,128,1,244.427
attention,16,0,32,256,1,332.726
attention,16,0,32,512,1,496.694
attention,16,0,32,1024,1,828.8
attention,16,0,32,2048,1,1479.94
attention,16,0,32,4096,1,2785.43
attention,16,0,32,8192,1,5491.09
attention,16,0,32,16384,1,10894.1
attention,16,0,64,16,1,286.421
attention,16,0,64,32,1,288.971
attention,16,0,64,64,1,295.264
attention,16,0,64,128,1,457.994
attention,16,0,64,256,1,630.283
attention,16,0,64,512,1,963.19
attention,16,0,64,1024,1,1634.2
attention,16,0,64,2048,1,2973.18
attention,16,0,64,4096,1,6171.25
attention,16,0,64,8192,1,12895.3
attention,16,0,64,16384,1,25529.4
attention,16,0,128,16,1,540.406
attention,16,0,128,32,1,546.186
attention,16,0,128,64,1,560.086
attention,16,0,128,128,1,895.735
attention,16,0,128,256,1,1251.14
attention,16,0,128,512,1,1940.41
attention,16,0,128,1024,1,3347.54
attention,16,0,128,2048,1,6605.71
attention,16,0,128,4096,1,23529.1
attention,16,0,128,8192,1,46854.7
attention,16,0,128,16384,1,93601.6
attention,16,16,0,0,1,26.1123
attention,16,16,1,16,1,26.07
attention,16,16,1,32,1,26.2083
attention,16,16,1,64,1,26.2187
attention,16,16,1,128,1,31.1037
attention,16,16,1,256,1,38.826
attention,16,16,1,512,1,53.1737
attention,16,16,1,1024,1,82.6883
attention,16,16,1,2048,1,142.326
attention,16,16,1,4096,1,260.661
attention,16,16,1,8192,1,498.988
attention,16,16,1,16384,1,974.881
attention,16,16,2,16,1,37.642
attention,16,16,2,32,1,37.728
attention,16,16,2,64,1,37.9733
attention,16,16,2,128,1,46.794
attention,16,16,2,256,1,55.179
attention,16,16,2,512,1,70.4427
attention,16,16,2,1024,1,100.192
attention,16,16,2,2048,1,160.587
attention,16,16,2,4096,1,278.165
attention,16,16,2,8192,1,513.942
attention,16,16,2,16384,1,987.317
attention,16,16,4,16,1,38.0157
attention,16,16,4,32,1,38.3677
attention,16,16,4,64,1,39.2007
attention,16,16,4,128,1,49.6
attention,16,16,4,256,1,65.0877
attention,16,16,4,512,1,94.7943
attention,16,16,4,1024,1,157.974
attention,16,16,4,2048,1,278.474
attention,16,16,4,4096,1,516.139
attention,16,16,4,8192,1,987.926
attention,16,16,4,16384,1,1949.86
attention,16,16,8,16,1,61.1727
attention,16,16,8,32,1,61.579
attention,16,16,8,64,1,63.1147
attention,16,16,8,128,1,81.1737
attention,16,16,8,256,1,104.054
attention,16,16,8,512,1,150.433
attention,16,16,8,1024,1,243.243
attention,16,16,8,2048,1,420.821
attention,16,16,8,4096,1,777.056
attention,16,16,8,8192,1,1484.49
attention,16,16,8,16384,1,2906.72
attention,16,16,16,16,1,87.457
attention,16,16,16,32,1,88.4483
attention,16,16,16,64,1,92.5543
attention,16,16,16,128,1,130.644
attention,16,16,16,256,1,181.909
attention,16,16,16,512,1,272.469
attention,16,16,16,1024,1,448.342
attention,16,16,16,2048,1,802.955
attention,16,16,16,4096,1,1511.5
attention,16,16,16,8192,1,2934.45
attention,16,16,16,16384,1,5792.73
attention,16,16,32,16,1,157.963
attention,16,16,32,32,1,159.68
attention,16,16,32,64,1,163.764
attention,16,16,32,128,1,244.277
attention,16,16,32,256,1,332.748
attention,16,16,32,512,1,497.396
attention,16,16,32,1024,1,828.907
attention,16,16,32,2048,1,1480.97
attention,16,16,32,4096,1,2786.97
attention,16,16,32,8192,1,5508.55
attention,16,16,32,16384,1,10893.7
attention,16,16,64,16,1,284.768
attention,16,16,64,32,1,289.344
attention,16,16,64,64,1,297.014
attention,16,16,64,128,1,458.933
attention,16,16,64,256,1,631.318
attention,16,16,64,512,1,961.419
attention,16,16,64,1024,1,1636.21
attention,16,16,64,2048,1,2972.67
attention,16,16,64,4096,1,6172.39
attention,16,16,64,8192,1,12898.6
attention,16,16,64,16384,1,25524.4
attention,16,16,128,16,1,541.526
attention,16,16,128,32,1,546.112
attention,16,16,128,64,1,561.631
attention,16,16,128,128,1,895.224
attention,16,16,128,256,1,1249.83
attention,16,16,128,512,1,1943.45
attention,16,16,128,1024,1,3350.37
attention,16,16,128,2048,1,6601.96
attention,16,16,128,4096,1,23532.5
attention,16,16,128,8192,1,46853.2
attention,16,16,128,16384,1,93589
attention,16,32,0,0,1,26.0797
attention,16,32,1,16,1,26.1333
attention,16,32,1,32,1,26.1007
attention,16,32,1,64,1,26.464
attention,16,32,1,128,1,31.233
attention,16,32,1,256,1,38.805
attention,16,32,1,512,1,53.1517
attention,16,32,1,1024,1,82.6563
attention,16,32,1,2048,1,142.304
attention,16,32,1,4096,1,261.205
attention,16,32,1,8192,1,498.677
attention,16,32,1,16384,1,974.966
attention,16,32,2,16,1,38.0057
attention,16,32,2,32,1,37.9733
attention,16,32,2,64,1,37.899
attention,16,32,2,128,1,46.976
attention,16,32,2,256,1,55.253
attention,16,32,2,512,1,70.2607
attention,16,32,2,1024,1,100.267
attention,16,32,2,2048,1,160.822
attention,16,32,2,4096,1,278.784
attention,16,32,2,8192,1,515.415
attention,16,32,2,16384,1,987.766
attention,16,32,4,16,1,38.5917
attention,16,32,4,32,1,38.891
attention,16,32,4,64,1,39.3707
attention,16,32,4,128,1,50.154
attention,16,32,4,256,1,65.387
attention,16,32,4,512,1,95.062
attention,16,32,4,1024,1,158.538
attention,16,32,4,2048,1,279.061
attention,16,32,4,4096,1,517.09
attention,16,32,4,8192,1,990.209
attention,16,32,4,16384,1,1937.21
attention,16,32,8,16,1,61.397
attention,16,32,8,32,1,63.8503
attention,16,32,8,64,1,63.2007
attention,16,32,8,128,1,81.2807
attention,16,32,8,256,1,104.821
attention,16,32,8,512,1,150.304
attention,16,32,8,1024,1,243.605
attention,16,32,8,2048,1,421.526
attention,16,32,8,4096,1,776.684
attention,16,32,8,8192,1,1484.19
attention,16,32,8,16384,1,2950.46
attention,16,32,16,16,1,90.5067
attention,16,32,16,32,1,88.8207
attention,16,32,16,64,1,90.9657
attention,16,32,16,128,1,130.955
attention,16,32,16,256,1,177.92
attention,16,32,16,512,1,268.597
attention,16,32,16,1024,1,448.544
attention,16,32,16,2048,1,804.171
attention,16,32,16,4096,1,1513.54
attention,16,32,16,8192,1,2933.87
attention,16,32,16,16384,1,5791.05
attention,16,32,32,16,1,158.368
attention,16,32,32,32,1,159.808
attention,16,32,32,64,1,170.24
attention,16,32,32,128,1,245.206
attention,16,32,32,256,1,337.653
attention,16,32,32,512,1,497.28
attention,16,32,32,1024,1,854.624
attention,16,32,32,2048,1,1482.18
attention,16,32,32,4096,1,2787.1
attention,16,32,32,8192,1,5503.65
attention,16,32,32,16384,1,10891.6
attention,16,32,64,16,1,286.816
attention,16,32,64,32,1,289.43
attention,16,32,64,64,1,297.057
attention,16,32,64,128,1,458.955
attention,16,32,64,256,1,658.08
attention,16,32,64,512,1,962.145
attention,16,32,64,1024,1,1668.16
attention,16,32,64,2048,1,2994.7
attention,16,32,64,4096,1,6212.25
attention,16,32,64,8192,1,12898.5
attention,16,32,64,16384,1,25526.9
attention,16,32,128,16,1,541.249
attention,16,32,128,32,1,553.974
attention,16,32,128,64,1,559.798
attention,16,32,128,128,1,899.137
attention,16,32,128,256,1,1270.08
attention,16,32,128,512,1,1941.11
attention,16,32,128,1024,1,3363.79
attention,16,32,128,2048,1,6633.42
attention,16,32,128,4096,1,23523.4
attention,16,32,128,8192,1,46852
attention,16,32,128,16384,1,93593.1
attention,16,64,0,0,1,26.6443
attention,16,64,1,16,1,26.2927
attention,16,64,1,32,1,26.3153
attention,16,64,1,64,1,26.4643
attention,16,64,1,128,1,31.1787
attention,16,64,1,256,1,40.1393
attention,16,64,1,512,1,53.003
attention,16,64,1,1024,1,83.051
attention,16,64,1,2048,1,142.432
attention,16,64,1,4096,1,261.248
attention,16,64,1,8192,1,498.859
attention,16,64,1,16384,1,974.999
attention,16,64,2,16,1,38.123
attention,16,64,2,32,1,38.2507
attention,16,64,2,64,1,38.7093
attention,16,64,2,128,1,47.371
attention,16,64,2,256,1,55.7543
attention,16,64,2,512,1,70.5493
attention,16,64,2,1024,1,100.501
attention,16,64,2,2048,1,161.259
attention,16,64,2,4096,1,278.444
attention,16,64,2,8192,1,515.809
attention,16,64,2,16384,1,988.971
attention,16,64,4,16,1,38.6137
attention,16,64,4,32,1,39.104
attention,16,64,4,64,1,39.5417
attention,16,64,4,128,1,50.0907
attention,16,64,4,256,1,65.3227
attention,16,64,4,512,1,95.2323
attention,16,64,4,1024,1,158.539
attention,16,64,4,2048,1,279.541
attention,16,64,4,4096,1,516.897
attention,16,64,4,8192,1,990.443
attention,16,64,4,16384,1,1937.01
attention,16,64,8,16,1,61.8137
attention,16,64,8,32,1,62.2093
attention,16,64,8,64,1,63.6803
attention,16,64,8,128,1,81.7393
attention,16,64,8,256,1,104.981
attention,16,64,8,512,1,151.178
attention,16,64,8,1024,1,244.053
attention,16,64,8,2048,1,420.875
attention,16,64,8,4096,1,776.758
attention,16,64,8,8192,1,1483.35
attention,16,64,8,16384,1,2906.57
attention,16,64,16,16,1,87.85
attention,16,64,16,32,1,89.3013
attention,16,64,16,64,1,91.147
attention,16,64,16,128,1,131.019
attention,16,64,16,256,1,177.856
attention,16,64,16,512,1,268.086
attention,16,64,16,1024,1,448.598
attention,16,64,16,2048,1,803.778
attention,16,64,16,4096,1,1512.76
attention,16,64,16,8192,1,2978.06
attention,16,64,16,16384,1,5800.34
attention,16,64,32,16,1,158.656
attention,16,64,32,32,1,160.395
attention,16,64,32,64,1,163.936
attention,16,64,32,128,1,245.3
attention,16,64,32,256,1,333.91
attention,16,64,32,512,1,498.337
attention,16,64,32,1024,1,829.546
attention,16,64,32,2048,1,1480.71
attention,16,64,32,4096,1,2878.55
attention,16,64,32,8192,1,5503.32
attention,16,64,32,16384,1,10907.2
attention,16,64,64,16,1,293.643
attention,16,64,64,32,1,300.064
attention,16,64,64,64,1,308.171
attention,16,64,64,128,1,460.684
attention,16,64,64,256,1,631.51
attention,16,64,64,512,1,965.334
attention,16,64,64,1024,1,1636.69
attention,16,64,64,2048,1,2972.08
attention,16,64,64,4096,1,6234.74
attention,16,64,64,8192,1,12897
attention,16,64,64,16384,1,25531.9
attention,16,64,128,16,1,550.604
attention,16,64,128,32,1,554.347
attention,16,64,128,64,1,565.74
attention,16,64,128,128,1,895.211
attention,16,64,128,256,1,1257.02
attention,16,64,128,512,1,1967.92
attention,16,64,128,1024,1,3353.78
attention,16,64,128,2048,1,6633.22
attention,16,64,128,4096,1,23528.7
attention,16,64,128,8192,1,46850.9
attention,16,64,128,16384,1,93595
attention,16,128,0,0,1,34.3893
attention,16,128,1,16,1,31.1783
attention,16,128,1,32,1,31.222
attention,16,128,1,64,1,31.5203
attention,16,128,1,128,1,33.1523
attention,16,128,1,256,1,39.765
attention,16,128,1,512,1,54.5173
attention,16,128,1,1024,1,85.6007
attention,16,128,1,2048,1,142.261
attention,16,128,1,4096,1,261.002
attention,16,128,1,8192,1,498.901
attention,16,128,1,16384,1,974.666
attention,16,128,2,16,1,46.2297
attention,16,128,2,32,1,45.9523
attention,16,128,2,64,1,46.591
attention,16,128,2,128,1,53.5263
attention,16,128,2,256,1,61.4723
attention,16,128,2,512,1,77.856
attention,16,128,2,1024,1,108.318
attention,16,128,2,2048,1,168.459
attention,16,128,2,4096,1,285.546
attention,16,128,2,8192,1,523.103
attention,16,128,2,16384,1,1039.32
attention,16,128,4,16,1,47.723
attention,16,128,4,32,1,47.52
attention,16,128,4,64,1,48.629
attention,16,128,4,128,1,55.9037
attention,16,128,4,256,1,67.8503
attention,16,128,4,512,1,99.0183
attention,16,128,4,1024,1,164.908
attention,16,128,4,2048,1,290.443
attention,16,128,4,4096,1,538.402
attention,16,128,4,8192,1,1005.58
attention,16,128,4,16384,1,1940.5
attention,16,128,8,16,1,71.6487
attention,16,128,8,32,1,70.036
attention,16,128,8,64,1,71.2
attention,16,128,8,128,1,92.6723
attention,16,128,8,256,1,112.928
attention,16,128,8,512,1,160.16
attention,16,128,8,1024,1,254.251
attention,16,128,8,2048,1,447.659
attention,16,128,8,4096,1,783.948
attention,16,128,8,8192,1,1537.42
attention,16,128,8,16384,1,3042.51
attention,16,128,16,16,1,102.091
attention,16,128,16,32,1,103.519
attention,16,128,16,64,1,105.312
attention,16,128,16,128,1,134.828
attention,16,128,16,256,1,177.888
attention,16,128,16,512,1,268.096
attention,16,128,16,1024,1,460.597
attention,16,128,16,2048,1,829.611
attention,16,128,16,4096,1,1512.4
attention,16,128,16,8192,1,2934.1
attention,16,128,16,16384,1,5791.2
attention,16,128,32,16,1,173.195
attention,16,128,32,32,1,167.435
attention,16,128,32,64,1,178.912
attention,16,128,32,128,1,258.101
attention,16,128,32,256,1,349.674
attention,16,128,32,512,1,527.712
attention,16,128,32,1024,1,859.53
attention,16,128,32,2048,1,1489.14
attention,16,128,32,4096,1,2792.58
attention,16,128,32,8192,1,5489.01
attention,16,128,32,16384,1,10896.9
attention,16,128,64,16,1,298.485
attention,16,128,64,32,1,297.814
attention,16,128,64,64,1,305.685
attention,16,128,64,128,1,464.779
attention,16,128,64,256,1,636.779
attention,16,128,64,512,1,970.497
attention,16,128,64,1024,1,1661.22
attention,16,128,64,2048,1,2977.51
attention,16,128,64,4096,1,6160.76
attention,16,128,64,8192,1,12893.8
attention,16,128,64,16384,1,25529.4
attention,16,128,128,16,1,550.507
attention,16,128,128,32,1,555.231
attention,16,128,128,64,1,569.771
attention,16,128,128,128,1,899.435
attention,16,128,128,256,1,1260.12
attention,16,128,128,512,1,1956.29
attention,16,128,128,1024,1,3405.54
attention,16,128,128,2048,1,6577.93
attention,16,128,128,4096,1,23534.3
attention,16,128,128,8192,1,46864.1
attention,16,128,128,16384,1,93598.3
attention,16,256,0,0,1,40.2237
attention,16,256,1,16,1,38.8053
attention,16,256,1,32,1,38.8907
attention,16,256,1,64,1,38.9013
attention,16,256,1,128,1,38.4103
attention,16,256,1,256,1,39.69
attention,16,256,1,512,1,52.3203
attention,16,256,1,1024,1,82.4533
attention,16,256,1,2048,1,141.931
attention,16,256,1,4096,1,264.853
attention,16,256,1,8192,1,512.236
attention,16,256,1,16384,1,974.774
attention,16,256,2,16,1,54.026
attention,16,256,2,32,1,53.931
attention,16,256,2,64,1,53.6637
attention,16,256,2,128,1,61.2693
attention,16,256,2,256,1,69.4403
attention,16,256,2,512,1,84.1173
attention,16,256,2,1024,1,114.977
attention,16,256,2,2048,1,175.616
attention,16,256,2,4096,1,292.887
attention,16,256,2,8192,1,529.813
attention,16,256,2,16384,1,1003.29
attention,16,256,4,16,1,54.634
attention,16,256,4,32,1,54.89
attention,16,256,4,64,1,55.307
attention,16,256,4,128,1,61.61
attention,16,256,4,256,1,68.7777
attention,16,256,4,512,1,95.4553
attention,16,256,4,1024,1,158.721
attention,16,256,4,2048,1,278.88
attention,16,256,4,4096,1,517.324
attention,16,256,4,8192,1,990.239
attention,16,256,4,16384,1,1937.6
attention,16,256,8,16,1,77.9417
attention,16,256,8,32,1,78.465
attention,16,256,8,64,1,79.5313
attention,16,256,8,128,1,100.661
attention,16,256,8,256,1,123.082
attention,16,256,8,512,1,167.029
attention,16,256,8,1024,1,257.857
attention,16,256,8,2048,1,436.971
attention,16,256,8,4096,1,792.075
attention,16,256,8,8192,1,1499.13
attention,16,256,8,16384,1,2963.54
attention,16,256,16,16,1,112.874
attention,16,256,16,32,1,113.451
attention,16,256,16,64,1,115.84
attention,16,256,16,128,1,147.915
attention,16,256,16,256,1,180.939
attention,16,256,16,512,1,268.384
attention,16,256,16,1024,1,448.842
attention,16,256,16,2048,1,803.936
attention,16,256,16,4096,1,1512.79
attention,16,256,16,8192,1,2934.3
attention,16,256,16,16384,1,5789.88
attention,16,256,32,16,1,180.299
attention,16,256,32,32,1,177.269
attention,16,256,32,64,1,181.163
attention,16,256,32,128,1,259.862
attention,16,256,32,256,1,341.675
attention,16,256,32,512,1,511.786
attention,16,256,32,1024,1,841.749
attention,16,256,32,2048,1,1496.73
attention,16,256,32,4096,1,2802.49
attention,16,256,32,8192,1,5494.14
attention,16,256,32,16384,1,10898.5
attention,16,256,64,16,1,308.971
attention,16,256,64,32,1,315.083
attention,16,256,64,64,1,318.892
attention,16,256,64,128,1,480.055
attention,16,256,64,256,1,640.065
attention,16,256,64,512,1,991.041
attention,16,256,64,1024,1,1645.1
attention,16,256,64,2048,1,2977.88
attention,16,256,64,4096,1,6192.86
attention,16,256,64,8192,1,12905
attention,16,256,64,16384,1,25526.7
attention,16,256,128,16,1,568.704
attention,16,256,128,32,1,566.316
attention,16,256,128,64,1,587.317
attention,16,256,128,128,1,908.597
attention,16,256,128,256,1,1262.52
attention,16,256,128,512,1,1965.61
attention,16,256,128,1024,1,3373.68
attention,16,256,128,2048,1,6549.58
attention,16,256,128,4096,1,23541.1
attention,16,256,128,8192,1,46861.9
attention,16,256,128,16384,1,93594.5
attention,16,512,0,0,1,53.835
attention,16,512,1,16,1,53.056
attention,16,512,1,32,1,53.099
attention,16,512,1,64,1,53.173
attention,16,512,1,128,1,52.5333
attention,16,512,1,256,1,52.6397
attention,16,512,1,512,1,55.584
attention,16,512,1,1024,1,85.9083
attention,16,512,1,2048,1,142.464
attention,16,512,1,4096,1,261.514
attention,16,512,1,8192,1,499.329
attention,16,512,1,16384,1,975.093
attention,16,512,2,16,1,68.747
attention,16,512,2,32,1,68.0217
attention,16,512,2,64,1,67.936
attention,16,512,2,128,1,75.7653
attention,16,512,2,256,1,82.762
attention,16,512,2,512,1,97.3127
attention,16,512,2,1024,1,129.633
attention,16,512,2,2048,1,190.315
attention,16,512,2,4096,1,308.502
attention,16,512,2,8192,1,545.153
attention,16,512,2,16384,1,1023.54
attention,16,512,4,16,1,70.4627
attention,16,512,4,32,1,71.9247
attention,16,512,4,64,1,70.144
attention,16,512,4,128,1,76.8323
attention,16,512,4,256,1,83.509
attention,16,512,4,512,1,98.1227
