timestamp,vllm:kv_cache_usage_perc,vllm:prefix_cache_queries_total,vllm:prefix_cache_hits_total,vllm:external_prefix_cache_queries_total,vllm:external_prefix_cache_hits_total
2025-12-12T14:42:59.299770,0.2724120494112548,31775.0,4848.0,0.0,0.0
2025-12-12T14:43:00.323666,0.2732066748537167,31775.0,4848.0,0.0,0.0
2025-12-12T14:43:01.349632,0.2735678682366539,31775.0,4848.0,0.0,0.0
2025-12-12T14:43:02.375211,0.27407353897276604,31775.0,4848.0,0.0,0.0
2025-12-12T14:43:03.402489,0.2818030773676226,34489.0,6048.0,0.0,0.0
2025-12-12T14:43:04.426934,0.30239110019504445,39419.0,6656.0,0.0,0.0
2025-12-12T14:43:05.453360,0.3176334609549953,42606.0,7152.0,0.0,0.0
2025-12-12T14:43:06.480026,0.32976955862168605,44423.0,7184.0,0.0,0.0
2025-12-12T14:43:07.509634,0.34067759878639026,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:08.536165,0.34696236364949795,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:09.567645,0.3529581738062559,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:10.598576,0.3588095066098389,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:11.629150,0.36437188470707216,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:12.659731,0.3694285920681933,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:13.690574,0.3739073900166149,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:14.718274,0.3767969370801127,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:15.745216,0.37961424546702305,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:16.773341,0.38199812179440873,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:17.799990,0.38409304341544465,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:18.825773,0.38510438488766885,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:19.851453,0.38640468106624287,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:20.876677,0.38763273856822944,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:21.902181,0.3887163187170411,46815.0,8256.0,0.0,0.0
2025-12-12T14:43:22.931299,0.3935563100483999,47569.0,8272.0,0.0,0.0
2025-12-12T14:43:23.958767,0.4064147944809651,51134.0,9392.0,0.0,0.0
2025-12-12T14:43:24.985282,0.41963447229646755,54274.0,10320.0,0.0,0.0
2025-12-12T14:43:26.009724,0.4328541501119699,58870.0,12720.0,0.0,0.0
2025-12-12T14:43:27.040145,0.4446290543957235,61283.0,13728.0,0.0,0.0
2025-12-12T14:43:28.071568,0.4533699342628043,63424.0,15088.0,0.0,0.0
2025-12-12T14:43:29.096533,0.45951022177273715,63424.0,15088.0,0.0,0.0
2025-12-12T14:43:30.127029,0.4649281225167955,63424.0,15088.0,0.0,0.0
2025-12-12T14:43:31.156393,0.4700570685545041,63424.0,15088.0,0.0,0.0
2025-12-12T14:43:32.181013,0.4744636278263382,63424.0,15088.0,0.0,0.0
2025-12-12T14:43:33.206846,0.47807556165571047,63424.0,15088.0,0.0,0.0
