2025-12-11 21:08:18,390
2025-12-11 21:08:18,387
2025-12-11 21:08:18,384
2025-12-11 21:08:19,380
2025-12-11 21:08:19,379
2025-12-11 21:08:19,379
2025-12-11 21:08:19,379
2025-12-11 21:08:20,379
2025-12-11 21:08:20,380
2025-12-11 21:08:20,380
2025-12-11 21:08:20,379
2025-12-11 21:08:21,379
2025-12-11 21:08:21,379
2025-12-11 21:08:21,379
2025-12-11 21:08:21,386
2025-12-11 21:08:22,369
2025-12-11 21:08:22,345
2025-12-11 21:08:22,331
2025-12-11 21:08:22,314
2025-12-11 21:08:23,343
2025-12-11 21:08:23,357
2025-12-11 21:08:23,369
2025-12-11 21:08:24,385
2025-12-11 21:08:24,387
2025-12-11 21:08:24,389
2025-12-11 21:08:24,392
2025-12-11 21:08:25,391
2025-12-11 21:08:25,391
2025-12-11 21:08:25,390
2025-12-11 21:08:25,391
2025-12-11 21:08:26,402
2025-12-11 21:08:26,402
2025-12-11 21:08:26,401
2025-12-11 21:08:26,401
2025-12-11 21:08:27,389
2025-12-11 21:08:27,389
2025-12-11 21:08:27,384
2025-12-11 21:08:27,384
2025-12-11 21:08:28,383
2025-12-11 21:08:28,386
2025-12-11 21:08:28,392
2025-12-11 21:08:29,440
2025-12-11 21:08:29,558
2025-12-11 21:08:29,617
2025-12-11 21:08:29,668
2025-12-11 21:08:30,682
2025-12-11 21:08:30,678
2025-12-11 21:08:30,675
2025-12-11 21:08:30,673
2025-12-11 21:08:31,671
2025-12-11 21:08:31,673
2025-12-11 21:08:31,673
2025-12-11 21:08:31,671
2025-12-11 21:08:32,670
2025-12-11 21:08:32,671
2025-12-11 21:08:32,676
2025-12-11 21:08:32,678
2025-12-11 21:08:33,683
2025-12-11 21:08:33,689
2025-12-11 21:08:33,688
2025-12-11 21:08:33,683
2025-12-11 21:08:34,686
2025-12-11 21:08:34,687
2025-12-11 21:08:34,683
2025-12-11 21:08:35,687
2025-12-11 21:08:35,687
2025-12-11 21:08:35,686
2025-12-11 21:08:35,688
2025-12-11 21:08:36,683
2025-12-11 21:08:36,683
2025-12-11 21:08:36,684
2025-12-11 21:08:36,680
2025-12-11 21:08:37,679
2025-12-11 21:08:37,680
2025-12-11 21:08:37,686
2025-12-11 21:08:37,689
2025-12-11 21:08:38,690
2025-12-11 21:08:38,690
2025-12-11 21:08:38,690
2025-12-11 21:08:38,691
2025-12-11 21:08:39,692
2025-12-11 21:08:39,690
2025-12-11 21:08:39,689
2025-12-11 21:08:39,689
2025-12-11 21:08:40,690
2025-12-11 21:08:40,678
2025-12-11 21:08:40,630
2025-12-11 21:08:41,582
2025-12-11 21:08:41,492
2025-12-11 21:08:41,461
2025-12-11 21:08:41,464
2025-12-11 21:08:42,463
2025-12-11 21:08:42,464
2025-12-11 21:08:42,462
2025-12-11 21:08:42,458
2025-12-11 21:08:43,455
2025-12-11 21:08:43,452
2025-12-11 21:08:43,452
2025-12-11 21:08:43,452
2025-12-11 21:08:44,450
2025-12-11 21:08:44,449
2025-12-11 21:08:44,447
2025-12-11 21:08:44,445
2025-12-11 21:08:45,446
2025-12-11 21:08:45,446
2025-12-11 21:08:45,446
2025-12-11 21:08:45,445
2025-12-11 21:08:46,442
2025-12-11 21:08:46,441
2025-12-11 21:08:46,441
2025-12-11 21:08:47,441
2025-12-11 21:08:47,441
2025-12-11 21:08:47,442
2025-12-11 21:08:47,442
2025-12-11 21:08:48,442
2025-12-11 21:08:48,443
2025-12-11 21:08:48,444
2025-12-11 21:08:48,445
2025-12-11 21:08:49,445
2025-12-11 21:08:49,445
2025-12-11 21:08:49,444
2025-12-11 21:08:49,443
2025-12-11 21:08:50,444
2025-12-11 21:08:50,444
2025-12-11 21:08:50,444
2025-12-11 21:08:50,444
2025-12-11 21:08:51,443
2025-12-11 21:08:51,443
2025-12-11 21:08:51,445
2025-12-11 21:08:51,445
2025-12-11 21:08:52,446
2025-12-11 21:08:52,445
2025-12-11 21:08:52,445
2025-12-11 21:08:52,445
2025-12-11 21:08:53,445
2025-12-11 21:08:53,445
2025-12-11 21:08:53,445
2025-12-11 21:08:54,445
2025-12-11 21:08:54,445
2025-12-11 21:08:54,445
2025-12-11 21:08:54,446
2025-12-11 21:08:55,446
