time_s	throughput
0	0
1	86
2	418.2
3	721.8
4	1117.3
5	1360.3
6	1599
7	1783.1
8	1901.6
9	2051.6
10	2312.5
11	2618.8
12	2547.6
13	2529.2
14	2565.1
15	2436.7
16	2529.6
17	2646.7
18	2772.9
19	2703.2
20	2701.7
21	2757.8
22	2673.9
23	2714.3
24	2661.6
25	2597.1
26	2606.7
27	2566.5
28	2492.2
29	2486.3
30	2677.3
31	2582
32	2340.5
33	2053
34	1821.9
35	1604.8
36	1286.5
37	1032.1
38	869.6
39	739.5
40	641.7
41	605.7
42	516.7
43	424.2
44	354.2
45	213.8
46	193.8
47	123.9
48	110.8
49	81
50	41.9
51	35
52	0
