layer,pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
attention,32,n<=64,sr<=40%,kvB<=1k,kp<=8k,0.1191,2
attention,32,n<=64,sr<=40%,kvB<=1k,kp=0,0.1356,2
attention,32,n<=64,sr<=40%,kvB<=4k,kp<=1k,0.0151,2
attention,32,n<=64,sr<=40%,kvB<=4k,kp<=2k,0.0078,2
attention,32,n<=64,sr<=40%,kvB<=4k,kp<=4k,-0.0087,2
attention,32,n<=64,sr<=40%,kvB<=4k,kp<=512,0.0194,2
attention,32,n<=64,sr<=40%,kvB<=4k,kp<=8k,-0.0073,2
attention,32,n<=64,sr<=40%,kvB<=4k,kp=0,0.0229,2
attention,32,n<=64,sr<=5%,kvB<=16k,kp<=1k,0.0305,6
attention,32,n<=64,sr<=5%,kvB<=16k,kp<=2k,0.0241,6
attention,32,n<=64,sr<=5%,kvB<=16k,kp<=4k,0.0118,6
attention,32,n<=64,sr<=5%,kvB<=16k,kp<=512,0.0312,6
attention,32,n<=64,sr<=5%,kvB<=16k,kp<=8k,0.0048,6
attention,32,n<=64,sr<=5%,kvB<=16k,kp=0,0.0334,6
attention,32,n<=64,sr<=5%,kvB<=1k,kp<=1k,0.019,6
attention,32,n<=64,sr<=5%,kvB<=1k,kp<=2k,0.0186,6
attention,32,n<=64,sr<=5%,kvB<=1k,kp<=4k,0.0164,6
attention,32,n<=64,sr<=5%,kvB<=1k,kp<=512,0.0344,6
attention,32,n<=64,sr<=5%,kvB<=1k,kp<=8k,0.0201,6
attention,32,n<=64,sr<=5%,kvB<=1k,kp=0,0.049,6
attention,32,n<=64,sr<=5%,kvB<=4k,kp<=1k,0.0388,6
attention,32,n<=64,sr<=5%,kvB<=4k,kp<=2k,0.027,6
attention,32,n<=64,sr<=5%,kvB<=4k,kp<=4k,0.0134,6
attention,32,n<=64,sr<=5%,kvB<=4k,kp<=512,0.0419,6
attention,32,n<=64,sr<=5%,kvB<=4k,kp<=8k,0.014,6
attention,32,n<=64,sr<=5%,kvB<=4k,kp=0,0.0446,6
attention,32,n<=64,sr<=70%,kvB<=16k,kp<=1k,1.5792,2
attention,32,n<=64,sr<=70%,kvB<=16k,kp<=2k,1.5502,2
attention,32,n<=64,sr<=70%,kvB<=16k,kp<=4k,1.0136,2
attention,32,n<=64,sr<=70%,kvB<=16k,kp<=512,1.584,2
attention,32,n<=64,sr<=70%,kvB<=16k,kp<=8k,1.2048,2
attention,32,n<=64,sr<=70%,kvB<=16k,kp=0,1.5758,2
attention,32,n<=64,sr<=70%,kvB<=1k,kp<=1k,0.0444,2
attention,32,n<=64,sr<=70%,kvB<=1k,kp<=2k,0.0567,2
attention,32,n<=64,sr<=70%,kvB<=1k,kp<=4k,0.0517,2
attention,32,n<=64,sr<=70%,kvB<=1k,kp<=512,0.0561,2
attention,32,n<=64,sr<=70%,kvB<=1k,kp<=8k,0.054,2
attention,32,n<=64,sr<=70%,kvB<=1k,kp=0,0.0726,2
attention,32,n<=64,sr<=70%,kvB<=4k,kp<=1k,0.0029,2
attention,32,n<=64,sr<=70%,kvB<=4k,kp<=2k,-0.0126,2
attention,32,n<=64,sr<=70%,kvB<=4k,kp<=4k,-0.0188,2
attention,32,n<=64,sr<=70%,kvB<=4k,kp<=512,0.0005,2
attention,32,n<=64,sr<=70%,kvB<=4k,kp<=8k,-0.0225,2
attention,32,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0,2
attention,32,n<=64,sr>70%,kvB<=16k,kp<=1k,4.9675,4
attention,32,n<=64,sr>70%,kvB<=16k,kp<=2k,4.8689,4
attention,32,n<=64,sr>70%,kvB<=16k,kp<=4k,3.1412,4
attention,32,n<=64,sr>70%,kvB<=16k,kp<=512,4.9091,4
attention,32,n<=64,sr>70%,kvB<=16k,kp<=8k,2.9593,4
attention,32,n<=64,sr>70%,kvB<=16k,kp=0,4.9321,4
attention,32,n<=64,sr>70%,kvB<=1k,kp<=1k,0.2514,4
attention,32,n<=64,sr>70%,kvB<=1k,kp<=2k,0.2755,4
attention,32,n<=64,sr>70%,kvB<=1k,kp<=4k,0.2777,4
attention,32,n<=64,sr>70%,kvB<=1k,kp<=512,0.2661,4
attention,32,n<=64,sr>70%,kvB<=1k,kp<=8k,0.2843,4
attention,32,n<=64,sr>70%,kvB<=1k,kp=0,0.3029,4
attention,32,n<=64,sr>70%,kvB<=4k,kp<=1k,-0.1166,4
attention,32,n<=64,sr>70%,kvB<=4k,kp<=2k,-0.1181,4
attention,32,n<=64,sr>70%,kvB<=4k,kp<=4k,-0.1523,4
attention,32,n<=64,sr>70%,kvB<=4k,kp<=512,-0.1321,4
attention,32,n<=64,sr>70%,kvB<=4k,kp<=8k,-0.1883,4
attention,32,n<=64,sr>70%,kvB<=4k,kp=0,-0.1398,4
attention,32,n<=8,sr<=15%,kvB<=16k,kp<=1k,0.3119,2
attention,32,n<=8,sr<=15%,kvB<=16k,kp<=2k,0.2879,2
attention,32,n<=8,sr<=15%,kvB<=16k,kp<=4k,0.2128,2
attention,32,n<=8,sr<=15%,kvB<=16k,kp<=512,0.3243,2
attention,32,n<=8,sr<=15%,kvB<=16k,kp<=8k,0.0927,2
attention,32,n<=8,sr<=15%,kvB<=16k,kp=0,0.3338,2
attention,32,n<=8,sr<=15%,kvB<=1k,kp<=1k,-0.0184,2
attention,32,n<=8,sr<=15%,kvB<=1k,kp<=2k,0.0788,2
attention,32,n<=8,sr<=15%,kvB<=1k,kp<=4k,0.0782,2
attention,32,n<=8,sr<=15%,kvB<=1k,kp<=512,0.1491,2
attention,32,n<=8,sr<=15%,kvB<=1k,kp<=8k,0.0765,2
attention,32,n<=8,sr<=15%,kvB<=1k,kp=0,0.3866,2
attention,32,n<=8,sr<=15%,kvB<=4k,kp<=1k,0.2161,2
attention,32,n<=8,sr<=15%,kvB<=4k,kp<=2k,0.0774,2
attention,32,n<=8,sr<=15%,kvB<=4k,kp<=4k,-0.0258,2
attention,32,n<=8,sr<=15%,kvB<=4k,kp<=512,0.2853,2
attention,32,n<=8,sr<=15%,kvB<=4k,kp<=8k,0.0112,2
attention,32,n<=8,sr<=15%,kvB<=4k,kp=0,0.3491,2
attention,32,n<=8,sr<=40%,kvB<=16k,kp<=1k,0.301,4
attention,32,n<=8,sr<=40%,kvB<=16k,kp<=2k,0.3058,4
attention,32,n<=8,sr<=40%,kvB<=16k,kp<=4k,0.2434,4
attention,32,n<=8,sr<=40%,kvB<=16k,kp<=512,0.2859,4
attention,32,n<=8,sr<=40%,kvB<=16k,kp<=8k,0.0737,4
attention,32,n<=8,sr<=40%,kvB<=16k,kp=0,0.2608,4
attention,32,n<=8,sr<=40%,kvB<=1k,kp<=1k,-0.0509,4
attention,32,n<=8,sr<=40%,kvB<=1k,kp<=2k,0.0341,4
attention,32,n<=8,sr<=40%,kvB<=1k,kp<=4k,0.0438,4
attention,32,n<=8,sr<=40%,kvB<=1k,kp<=512,0.1036,4
attention,32,n<=8,sr<=40%,kvB<=1k,kp<=8k,0.0431,4
attention,32,n<=8,sr<=40%,kvB<=1k,kp=0,0.3449,4
attention,32,n<=8,sr<=40%,kvB<=4k,kp<=1k,0.2162,4
attention,32,n<=8,sr<=40%,kvB<=4k,kp<=2k,0.0684,4
attention,32,n<=8,sr<=40%,kvB<=4k,kp<=4k,-0.1096,4
attention,32,n<=8,sr<=40%,kvB<=4k,kp<=512,0.2772,4
attention,32,n<=8,sr<=40%,kvB<=4k,kp<=8k,-0.0478,4
attention,32,n<=8,sr<=40%,kvB<=4k,kp=0,0.3157,4
attention,32,n<=8,sr<=70%,kvB<=16k,kp<=1k,0.289,2
attention,32,n<=8,sr<=70%,kvB<=16k,kp<=2k,0.2361,2
attention,32,n<=8,sr<=70%,kvB<=16k,kp<=4k,0.1368,2
attention,32,n<=8,sr<=70%,kvB<=16k,kp<=512,0.302,2
attention,32,n<=8,sr<=70%,kvB<=16k,kp<=8k,0.015,2
attention,32,n<=8,sr<=70%,kvB<=16k,kp=0,0.2993,2
attention,32,n<=8,sr<=70%,kvB<=1k,kp<=1k,-0.1749,2
attention,32,n<=8,sr<=70%,kvB<=1k,kp<=2k,-0.0537,2
attention,32,n<=8,sr<=70%,kvB<=1k,kp<=4k,-0.0322,2
attention,32,n<=8,sr<=70%,kvB<=1k,kp<=512,0.0533,2
attention,32,n<=8,sr<=70%,kvB<=1k,kp<=8k,-0.028,2
attention,32,n<=8,sr<=70%,kvB<=1k,kp=0,0.2893,2
attention,32,n<=8,sr<=70%,kvB<=4k,kp<=1k,0.1089,2
attention,32,n<=8,sr<=70%,kvB<=4k,kp<=2k,0.0262,2
attention,32,n<=8,sr<=70%,kvB<=4k,kp<=4k,-0.225,2
attention,32,n<=8,sr<=70%,kvB<=4k,kp<=512,0.1874,2
attention,32,n<=8,sr<=70%,kvB<=4k,kp<=8k,0.0084,2
attention,32,n<=8,sr<=70%,kvB<=4k,kp=0,0.3001,2
attention,32,n<=8,sr>70%,kvB<=16k,kp<=1k,0.8384,4
attention,32,n<=8,sr>70%,kvB<=16k,kp<=2k,0.7872,4
attention,32,n<=8,sr>70%,kvB<=16k,kp<=4k,0.4729,4
attention,32,n<=8,sr>70%,kvB<=16k,kp<=512,0.8376,4
attention,32,n<=8,sr>70%,kvB<=16k,kp<=8k,-0.2054,4
attention,32,n<=8,sr>70%,kvB<=16k,kp=0,0.809,4
attention,32,n<=8,sr>70%,kvB<=1k,kp<=1k,-0.5568,4
attention,32,n<=8,sr>70%,kvB<=1k,kp<=2k,0.017,4
attention,32,n<=8,sr>70%,kvB<=1k,kp<=4k,0.2192,4
attention,32,n<=8,sr>70%,kvB<=1k,kp<=512,-0.2487,4
attention,32,n<=8,sr>70%,kvB<=1k,kp<=8k,0.1864,4
attention,32,n<=8,sr>70%,kvB<=1k,kp=0,0.6699,4
attention,32,n<=8,sr>70%,kvB<=4k,kp<=1k,0.344,4
attention,32,n<=8,sr>70%,kvB<=4k,kp<=2k,-0.2385,4
attention,32,n<=8,sr>70%,kvB<=4k,kp<=4k,-0.7549,4
attention,32,n<=8,sr>70%,kvB<=4k,kp<=512,0.6277,4
attention,32,n<=8,sr>70%,kvB<=4k,kp<=8k,-0.3531,4
attention,32,n<=8,sr>70%,kvB<=4k,kp=0,0.8707,4
attention,64,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.1032,4
attention,64,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.096,4
attention,64,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.1053,4
attention,64,n<=128,sr<=15%,kvB<=16k,kp<=512,0.107,4
attention,64,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.1014,4
attention,64,n<=128,sr<=15%,kvB<=16k,kp=0,0.1143,8
attention,64,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0611,4
attention,64,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0651,4
attention,64,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0727,4
attention,64,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0626,4
attention,64,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0646,4
attention,64,n<=128,sr<=15%,kvB<=1k,kp=0,0.0764,9
attention,64,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0073,4
attention,64,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0049,4
attention,64,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0021,4
attention,64,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0068,4
attention,64,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0032,4
attention,64,n<=128,sr<=15%,kvB<=4k,kp=0,0.0103,8
attention,64,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.1842,2
attention,64,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.1724,2
attention,64,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.1646,2
attention,64,n<=128,sr<=40%,kvB<=16k,kp<=512,0.1889,2
attention,64,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.1094,2
attention,64,n<=128,sr<=40%,kvB<=16k,kp=0,0.1863,2
attention,64,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0954,2
attention,64,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.1014,2
attention,64,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.1034,2
attention,64,n<=128,sr<=40%,kvB<=1k,kp<=512,0.1003,2
attention,64,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.1011,2
attention,64,n<=128,sr<=40%,kvB<=1k,kp=0,0.1024,2
attention,64,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0196,2
attention,64,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.02,2
attention,64,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0277,2
attention,64,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0209,2
attention,64,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0239,2
attention,64,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0184,2
attention,64,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0147,8
attention,64,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0181,8
attention,64,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0176,8
attention,64,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0148,8
attention,64,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0125,8
attention,64,n<=128,sr<=5%,kvB<=16k,kp=0,0.0162,8
attention,64,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0049,8
attention,64,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0027,8
attention,64,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.013,8
attention,64,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0062,8
attention,64,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0085,8
attention,64,n<=128,sr<=5%,kvB<=1k,kp=0,0.013,8
attention,64,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0094,8
attention,64,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0066,8
attention,64,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0045,8
attention,64,n<=128,sr<=5%,kvB<=4k,kp<=512,0.01,8
attention,64,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0073,8
attention,64,n<=128,sr<=5%,kvB<=4k,kp=0,0.0097,8
attention,64,n<=128,sr<=70%,kvB<=16k,kp<=1k,0.1766,2
attention,64,n<=128,sr<=70%,kvB<=16k,kp<=2k,0.2268,2
attention,64,n<=128,sr<=70%,kvB<=16k,kp<=4k,0.1449,2
attention,64,n<=128,sr<=70%,kvB<=16k,kp<=512,0.2856,2
attention,64,n<=128,sr<=70%,kvB<=16k,kp<=8k,0.2881,2
attention,64,n<=128,sr<=70%,kvB<=16k,kp=0,0.2746,6
attention,64,n<=128,sr<=70%,kvB<=1k,kp<=1k,0.0203,2
attention,64,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0326,2
attention,64,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0381,2
attention,64,n<=128,sr<=70%,kvB<=1k,kp<=512,0.014,2
attention,64,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.049,2
attention,64,n<=128,sr<=70%,kvB<=1k,kp=0,0.0305,7
attention,64,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0557,2
attention,64,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.035,2
attention,64,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.0446,2
attention,64,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0085,2
attention,64,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0414,2
attention,64,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0575,6
attention,64,n<=128,sr>70%,kvB<=16k,kp<=1k,0.299,3
attention,64,n<=128,sr>70%,kvB<=16k,kp<=2k,0.4094,4
attention,64,n<=128,sr>70%,kvB<=16k,kp<=4k,0.2863,4
attention,64,n<=128,sr>70%,kvB<=16k,kp<=512,0.3347,4
attention,64,n<=128,sr>70%,kvB<=16k,kp<=8k,0.2811,4
attention,64,n<=128,sr>70%,kvB<=16k,kp=0,0.2648,3
attention,64,n<=128,sr>70%,kvB<=1k,kp<=1k,0.2912,4
attention,64,n<=128,sr>70%,kvB<=1k,kp<=2k,0.3098,4
attention,64,n<=128,sr>70%,kvB<=1k,kp<=4k,0.3235,4
attention,64,n<=128,sr>70%,kvB<=1k,kp<=512,0.28,4
attention,64,n<=128,sr>70%,kvB<=1k,kp<=8k,0.3222,4
attention,64,n<=128,sr>70%,kvB<=1k,kp=0,0.2624,4
attention,64,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.5667,4
attention,64,n<=128,sr>70%,kvB<=4k,kp<=2k,-0.6017,4
attention,64,n<=128,sr>70%,kvB<=4k,kp<=4k,-0.5758,4
attention,64,n<=128,sr>70%,kvB<=4k,kp<=512,-0.5572,4
attention,64,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.689,4
attention,64,n<=128,sr>70%,kvB<=4k,kp=0,-0.5809,4
attention,64,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.1405,4
attention,64,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.1462,4
attention,64,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.149,4
attention,64,n<=16,sr<=15%,kvB<=16k,kp<=512,0.1355,4
attention,64,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.078,4
attention,64,n<=16,sr<=15%,kvB<=16k,kp=0,0.1302,4
attention,64,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0412,4
attention,64,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0762,4
attention,64,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0975,4
attention,64,n<=16,sr<=15%,kvB<=1k,kp<=512,0.1318,4
attention,64,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0899,4
attention,64,n<=16,sr<=15%,kvB<=1k,kp=0,0.2114,4
attention,64,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.1658,4
attention,64,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.0942,4
attention,64,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0042,4
attention,64,n<=16,sr<=15%,kvB<=4k,kp<=512,0.1672,4
attention,64,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.0241,4
attention,64,n<=16,sr<=15%,kvB<=4k,kp=0,0.1466,4
attention,64,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.1134,4
attention,64,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.1168,4
attention,64,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.1387,4
attention,64,n<=16,sr<=40%,kvB<=16k,kp<=512,0.1106,4
attention,64,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.1103,4
attention,64,n<=16,sr<=40%,kvB<=16k,kp=0,0.1084,4
attention,64,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.0273,4
attention,64,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.0757,4
attention,64,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.106,4
attention,64,n<=16,sr<=40%,kvB<=1k,kp<=512,0.1702,4
attention,64,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.1051,4
attention,64,n<=16,sr<=40%,kvB<=1k,kp=0,0.2041,4
attention,64,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.1605,4
attention,64,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.1242,4
attention,64,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.046,4
attention,64,n<=16,sr<=40%,kvB<=4k,kp<=512,0.1462,4
attention,64,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.0037,4
attention,64,n<=16,sr<=40%,kvB<=4k,kp=0,0.13,4
attention,64,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.0892,2
attention,64,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.0988,2
attention,64,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.1218,2
attention,64,n<=16,sr<=70%,kvB<=16k,kp<=512,0.0928,2
attention,64,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.1393,2
attention,64,n<=16,sr<=70%,kvB<=16k,kp=0,0.09,2
attention,64,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.0209,2
attention,64,n<=16,sr<=70%,kvB<=1k,kp<=2k,-0.0083,2
attention,64,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.1067,2
attention,64,n<=16,sr<=70%,kvB<=1k,kp<=512,0.1866,2
attention,64,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.1159,2
attention,64,n<=16,sr<=70%,kvB<=1k,kp=0,0.195,2
attention,64,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.147,2
attention,64,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.1517,2
attention,64,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.0904,2
attention,64,n<=16,sr<=70%,kvB<=4k,kp<=512,0.1315,2
attention,64,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.0725,2
attention,64,n<=16,sr<=70%,kvB<=4k,kp=0,0.1091,2
attention,64,n<=16,sr>70%,kvB<=16k,kp<=1k,0.0224,4
attention,64,n<=16,sr>70%,kvB<=16k,kp<=2k,0.0302,4
attention,64,n<=16,sr>70%,kvB<=16k,kp<=4k,0.0963,4
attention,64,n<=16,sr>70%,kvB<=16k,kp<=512,-0.0015,4
attention,64,n<=16,sr>70%,kvB<=16k,kp<=8k,0.2362,4
attention,64,n<=16,sr>70%,kvB<=16k,kp=0,0.0024,4
attention,64,n<=16,sr>70%,kvB<=1k,kp<=1k,0.2909,4
attention,64,n<=16,sr>70%,kvB<=1k,kp<=2k,0.0004,4
attention,64,n<=16,sr>70%,kvB<=1k,kp<=4k,0.2514,4
attention,64,n<=16,sr>70%,kvB<=1k,kp<=512,0.4854,4
attention,64,n<=16,sr>70%,kvB<=1k,kp<=8k,0.4602,4
attention,64,n<=16,sr>70%,kvB<=1k,kp=0,0.3339,4
attention,64,n<=16,sr>70%,kvB<=4k,kp<=1k,0.1804,4
attention,64,n<=16,sr>70%,kvB<=4k,kp<=2k,0.2282,4
attention,64,n<=16,sr>70%,kvB<=4k,kp<=4k,0.0925,4
attention,64,n<=16,sr>70%,kvB<=4k,kp<=512,0.1073,4
attention,64,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.2829,4
attention,64,n<=16,sr>70%,kvB<=4k,kp=0,0.0421,4
attention,64,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.9656,2
attention,64,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.979,2
attention,64,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.8329,2
attention,64,n<=2,sr<=70%,kvB<=16k,kp<=512,0.9679,2
attention,64,n<=2,sr<=70%,kvB<=16k,kp<=8k,-0.0032,2
attention,64,n<=2,sr<=70%,kvB<=16k,kp=0,0.9643,6
attention,64,n<=2,sr<=70%,kvB<=1k,kp<=1k,-0.8509,2
attention,64,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.7676,2
attention,64,n<=2,sr<=70%,kvB<=1k,kp<=4k,-0.772,2
attention,64,n<=2,sr<=70%,kvB<=1k,kp<=512,0.0729,2
attention,64,n<=2,sr<=70%,kvB<=1k,kp<=8k,-0.5576,2
attention,64,n<=2,sr<=70%,kvB<=1k,kp=0,0.9396,7
attention,64,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.7855,2
attention,64,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.0436,2
attention,64,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.8845,2
attention,64,n<=2,sr<=70%,kvB<=4k,kp<=512,0.9246,2
attention,64,n<=2,sr<=70%,kvB<=4k,kp<=8k,-0.8896,2
attention,64,n<=2,sr<=70%,kvB<=4k,kp=0,0.9382,6
attention,64,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.0741,6
attention,64,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.067,6
attention,64,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0442,6
attention,64,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0783,6
attention,64,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.0305,6
attention,64,n<=32,sr<=15%,kvB<=16k,kp=0,0.0791,10
attention,64,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0699,6
attention,64,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0685,6
attention,64,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.065,6
attention,64,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0997,6
attention,64,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0775,6
attention,64,n<=32,sr<=15%,kvB<=1k,kp=0,0.1433,11
attention,64,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.0729,6
attention,64,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0498,6
attention,64,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.0125,6
attention,64,n<=32,sr<=15%,kvB<=4k,kp<=512,0.082,6
attention,64,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0049,6
attention,64,n<=32,sr<=15%,kvB<=4k,kp=0,0.0935,10
attention,64,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.074,2
attention,64,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.0668,2
attention,64,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.0472,2
attention,64,n<=32,sr<=40%,kvB<=16k,kp<=512,0.0735,2
attention,64,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.0253,2
attention,64,n<=32,sr<=40%,kvB<=16k,kp=0,0.0782,2
attention,64,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.0989,2
attention,64,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.1051,2
attention,64,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.1148,2
attention,64,n<=32,sr<=40%,kvB<=1k,kp<=512,0.1299,2
attention,64,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.128,2
attention,64,n<=32,sr<=40%,kvB<=1k,kp=0,0.1677,2
attention,64,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.0522,2
attention,64,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.0316,2
attention,64,n<=32,sr<=40%,kvB<=4k,kp<=4k,-0.015,2
attention,64,n<=32,sr<=40%,kvB<=4k,kp<=512,0.0665,2
attention,64,n<=32,sr<=40%,kvB<=4k,kp<=8k,-0.0217,2
attention,64,n<=32,sr<=40%,kvB<=4k,kp=0,0.082,2
attention,64,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.0773,2
attention,64,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.0695,2
attention,64,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.0485,2
attention,64,n<=32,sr<=5%,kvB<=16k,kp<=512,0.0812,2
attention,64,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.0383,2
attention,64,n<=32,sr<=5%,kvB<=16k,kp=0,0.084,2
attention,64,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.0219,2
attention,64,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0131,2
attention,64,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.0094,2
attention,64,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0448,2
attention,64,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0201,2
attention,64,n<=32,sr<=5%,kvB<=1k,kp=0,0.0858,2
attention,64,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.082,2
attention,64,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0653,2
