layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,16,0,64,4096,1,700.712
attention,16,0,64,8192,1,692.554
attention,16,0,64,16384,1,694.865
attention,16,0,128,16,1,4033.54
attention,16,0,128,32,1,3910.85
attention,16,0,128,64,1,3804.11
attention,16,0,128,128,1,3896.81
attention,16,0,128,256,1,3818.29
attention,16,0,128,512,1,3276.22
attention,16,0,128,1024,1,2757.32
attention,16,0,128,2048,1,1299.03
attention,16,0,128,4096,1,1304.39
attention,16,0,128,8192,1,1297.27
attention,16,0,128,16384,1,1296.61
attention,16,16,0,0,1,1507.73
attention,16,16,1,16,1,1563.79
attention,16,16,1,32,1,1563.81
attention,16,16,1,64,1,1564.05
attention,16,16,1,128,1,1557.7
attention,16,16,1,256,1,1554.4
attention,16,16,1,512,1,1547.59
attention,16,16,1,1024,1,1521.94
attention,16,16,1,2048,1,1475.68
attention,16,16,1,4096,1,1475.57
attention,16,16,1,8192,1,1475.55
attention,16,16,1,16384,1,1474.53
attention,16,16,2,16,1,1649.69
attention,16,16,2,32,1,1655.93
attention,16,16,2,64,1,1652.94
attention,16,16,2,128,1,1641.27
attention,16,16,2,256,1,1637.98
attention,16,16,2,512,1,1619.67
attention,16,16,2,1024,1,1562.25
attention,16,16,2,2048,1,1479.95
attention,16,16,2,4096,1,1480.23
attention,16,16,2,8192,1,1479.59
attention,16,16,2,16384,1,1479.77
attention,16,16,4,16,1,1824.64
attention,16,16,4,32,1,1832.56
attention,16,16,4,64,1,1824.35
attention,16,16,4,128,1,1794.43
attention,16,16,4,256,1,1774.16
attention,16,16,4,512,1,1738.68
attention,16,16,4,1024,1,1658.85
attention,16,16,4,2048,1,1494.51
attention,16,16,4,4096,1,1493.85
attention,16,16,4,8192,1,1493.57
attention,16,16,4,16384,1,1493.08
attention,16,16,8,16,1,2169.52
attention,16,16,8,32,1,2188.73
attention,16,16,8,64,1,2175.83
attention,16,16,8,128,1,2118.15
attention,16,16,8,256,1,2102.68
attention,16,16,8,512,1,1990.72
attention,16,16,8,1024,1,1836.8
attention,16,16,8,2048,1,1510.62
attention,16,16,8,4096,1,1510.2
attention,16,16,8,8192,1,1509.33
attention,16,16,8,16384,1,1508.84
attention,16,16,16,16,1,2869.97
attention,16,16,16,32,1,2813.91
attention,16,16,16,64,1,2838.89
attention,16,16,16,128,1,2768.99
attention,16,16,16,256,1,2702.89
attention,16,16,16,512,1,2502.15
attention,16,16,16,1024,1,2188.72
attention,16,16,16,2048,1,1531.78
attention,16,16,16,4096,1,1531.38
attention,16,16,16,8192,1,1532.98
attention,16,16,16,16384,1,1538.46
attention,16,16,32,16,1,4335.53
attention,16,16,32,32,1,4162.48
attention,16,16,32,64,1,4135.25
attention,16,16,32,128,1,4107.9
attention,16,16,32,256,1,3910.62
attention,16,16,32,512,1,3586.36
attention,16,16,32,1024,1,2888.91
attention,16,16,32,2048,1,1592.68
attention,16,16,32,4096,1,1595.38
attention,16,16,32,8192,1,1605.22
attention,16,16,32,16384,1,1625.44
attention,16,16,64,16,1,2307.75
attention,16,16,64,32,1,2249.46
attention,16,16,64,64,1,2223.96
attention,16,16,64,128,1,2197.4
attention,16,16,64,256,1,2136.22
attention,16,16,64,512,1,1928.08
attention,16,16,64,1024,1,1511.93
attention,16,16,64,2048,1,698.538
attention,16,16,64,4096,1,704.682
attention,16,16,64,8192,1,719.713
attention,16,16,64,16384,1,722.577
attention,16,16,128,16,1,3968.33
attention,16,16,128,32,1,3973.17
attention,16,16,128,64,1,3850.81
attention,16,16,128,128,1,3798.13
attention,16,16,128,256,1,3738.36
attention,16,16,128,512,1,3384.82
attention,16,16,128,1024,1,2519.32
attention,16,16,128,2048,1,1310.55
attention,16,16,128,4096,1,1321.51
attention,16,16,128,8192,1,1318.09
attention,16,16,128,16384,1,1318.73
attention,16,32,0,0,1,1517.72
attention,16,32,1,16,1,1564.26
attention,16,32,1,32,1,1565.13
attention,16,32,1,64,1,1558.13
attention,16,32,1,128,1,1559.69
attention,16,32,1,256,1,1549.29
attention,16,32,1,512,1,1531.51
attention,16,32,1,1024,1,1502.34
attention,16,32,1,2048,1,1477.91
attention,16,32,1,4096,1,1478.44
attention,16,32,1,8192,1,1478.65
attention,16,32,1,16384,1,1478.77
attention,16,32,2,16,1,1648.63
attention,16,32,2,32,1,1652.7
attention,16,32,2,64,1,1641.66
attention,16,32,2,128,1,1642.2
attention,16,32,2,256,1,1619.07
attention,16,32,2,512,1,1588.76
attention,16,32,2,1024,1,1562.03
attention,16,32,2,2048,1,1483.85
attention,16,32,2,4096,1,1484.55
attention,16,32,2,8192,1,1484.45
attention,16,32,2,16384,1,1483.83
attention,16,32,4,16,1,1818.08
attention,16,32,4,32,1,1828.49
attention,16,32,4,64,1,1807.87
attention,16,32,4,128,1,1799.53
attention,16,32,4,256,1,1755.43
attention,16,32,4,512,1,1739.65
attention,16,32,4,1024,1,1652.57
attention,16,32,4,2048,1,1493.09
attention,16,32,4,4096,1,1492.86
attention,16,32,4,8192,1,1491.78
attention,16,32,4,16384,1,1491.03
attention,16,32,8,16,1,2147.82
attention,16,32,8,32,1,2182.87
attention,16,32,8,64,1,2138.73
attention,16,32,8,128,1,2117.08
attention,16,32,8,256,1,2059.31
attention,16,32,8,512,1,2001.63
attention,16,32,8,1024,1,1827.53
attention,16,32,8,2048,1,1513.11
attention,16,32,8,4096,1,1512.63
attention,16,32,8,8192,1,1512.06
attention,16,32,8,16384,1,1511.1
attention,16,32,16,16,1,2803.26
attention,16,32,16,32,1,2804.13
attention,16,32,16,64,1,2788.42
attention,16,32,16,128,1,2744.81
attention,16,32,16,256,1,2652.01
attention,16,32,16,512,1,2507.94
attention,16,32,16,1024,1,2171.36
attention,16,32,16,2048,1,1525.09
attention,16,32,16,4096,1,1523.99
attention,16,32,16,8192,1,1524.79
attention,16,32,16,16384,1,1530.64
attention,16,32,32,16,1,4145.99
attention,16,32,32,32,1,4264.97
attention,16,32,32,64,1,4202.13
attention,16,32,32,128,1,4146.04
attention,16,32,32,256,1,3951.61
attention,16,32,32,512,1,3594.8
attention,16,32,32,1024,1,2890.03
attention,16,32,32,2048,1,1587.4
attention,16,32,32,4096,1,1591.15
attention,16,32,32,8192,1,1597
attention,16,32,32,16384,1,1614.75
attention,16,32,64,16,1,2305.24
attention,16,32,64,32,1,2204.19
attention,16,32,64,64,1,2265.59
attention,16,32,64,128,1,2240.99
attention,16,32,64,256,1,2043.35
attention,16,32,64,512,1,1928.29
attention,16,32,64,1024,1,1510.96
attention,16,32,64,2048,1,697.985
attention,16,32,64,4096,1,705.561
attention,16,32,64,8192,1,720.368
attention,16,32,64,16384,1,722.137
attention,16,32,128,16,1,3922.62
attention,16,32,128,32,1,3896.78
attention,16,32,128,64,1,3900.4
attention,16,32,128,128,1,3885.54
attention,16,32,128,256,1,3612.23
attention,16,32,128,512,1,3295.3
attention,16,32,128,1024,1,2518.55
attention,16,32,128,2048,1,1326.11
attention,16,32,128,4096,1,1321.23
attention,16,32,128,8192,1,1317.23
attention,16,32,128,16384,1,1319.92
attention,16,64,0,0,1,1497.65
