ep,tokens,activated_experts,time_us
16,512,2,99.8992
16,512,4,115.006
16,512,8,160.859
16,512,16,258.919
16,1024,1,149.926
16,1024,2,152.852
16,1024,4,159.803
16,1024,8,200.295
16,1024,16,297.351
16,2048,1,277.284
16,2048,2,278.575
16,2048,4,281.031
16,2048,8,297.865
16,2048,16,376.453
32,1,1,33.4908
32,2,1,40.5735
32,2,2,52.6857
32,4,1,40.6268
32,4,2,53.0588
32,4,4,81.5392
32,8,1,42.2799
32,8,2,53.7333
32,8,4,82.5094
32,8,8,167.609
32,16,1,41.8374
32,16,2,53.9388
32,16,4,85.8008
32,16,8,176.897
32,32,1,36.7868
32,32,2,47.9841
32,32,4,77.1845
32,32,8,134.47
32,64,1,45.0033
32,64,2,61.5333
32,64,4,105.801
32,64,8,141.142
32,128,1,50.8163
32,128,2,63.0004
32,128,4,98.9072
32,128,8,166.619
32,256,1,76.9654
32,256,2,86.3925
32,256,4,120.497
32,256,8,170.796
32,512,1,103.182
32,512,2,106.494
32,512,4,125.929
32,512,8,168.625
32,1024,1,150.062
32,1024,2,152.988
32,1024,4,161.436
32,1024,8,201.337
32,2048,1,277.119
32,2048,2,279.218
32,2048,4,281.151
32,2048,8,298.855
