layer,sequences,time_us
mtp_shared_head,24,2.496
mtp_shared_head,28,2.50667
mtp_shared_head,32,2.54867
mtp_shared_head,36,2.52767
mtp_shared_head,40,2.592
mtp_shared_head,44,2.60233
mtp_shared_head,48,2.592
mtp_shared_head,52,2.656
mtp_shared_head,56,2.613
mtp_shared_head,60,2.67767
mtp_shared_head,64,2.667
mtp_shared_head,80,2.80567
mtp_shared_head,96,2.91233
mtp_shared_head,112,3.04
mtp_shared_head,128,3.168
mtp_shared_head,144,3.328
mtp_shared_head,160,3.49867
mtp_shared_head,176,3.57333
mtp_shared_head,192,3.648
mtp_shared_head,208,3.73267
mtp_shared_head,224,3.637
mtp_shared_head,240,3.70067
mtp_shared_head,256,4.245
