layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,0,0,4,16,9,1991.99
attention,0,0,4,32,1,279.98
attention,0,0,4,32,2,478.017
attention,0,0,4,32,3,743.683
attention,0,0,4,32,5,1103.23
attention,0,0,4,32,9,1978.3
attention,0,0,4,64,1,275.99
attention,0,0,4,64,2,464.418
attention,0,0,4,64,3,726.456
attention,0,0,4,64,5,1098.12
attention,0,0,4,64,9,1954.28
attention,0,0,4,128,1,267.5
attention,0,0,4,128,2,448.653
attention,0,0,4,128,3,706.018
attention,0,0,4,128,5,1063.23
attention,0,0,4,128,9,1900.48
attention,0,0,4,256,1,254.754
attention,0,0,4,256,2,418.904
attention,0,0,4,256,3,659.606
attention,0,0,4,256,5,991.696
attention,0,0,4,256,9,1785.81
attention,0,0,4,512,1,221.483
attention,0,0,4,512,2,378.69
attention,0,0,4,512,3,571.767
attention,0,0,4,512,5,860.72
attention,0,0,4,512,9,1566.39
attention,0,0,4,1024,1,163.104
attention,0,0,4,1024,2,267.181
attention,0,0,4,1024,3,405.185
attention,0,0,4,1024,5,598.445
attention,0,0,4,1024,9,1125.35
attention,0,0,4,2048,1,75.4673
attention,0,0,4,2048,2,99.969
attention,0,0,4,2048,3,153.473
attention,0,0,4,2048,5,166.754
attention,0,0,4,2048,9,280.524
attention,0,0,4,4096,1,75.3717
attention,0,0,4,4096,2,100.939
attention,0,0,4,4096,3,148.543
attention,0,0,4,4096,5,167.062
attention,0,0,4,4096,9,280.661
attention,0,0,4,8192,1,76.951
attention,0,0,4,8192,2,101.44
attention,0,0,4,8192,3,147.777
attention,0,0,4,8192,5,166.262
attention,0,0,4,8192,9,280.258
attention,0,0,4,16384,1,77.9847
attention,0,0,4,16384,2,100.982
attention,0,0,4,16384,3,148.556
attention,0,0,4,16384,5,166.86
attention,0,0,4,16384,9,280.129
attention,0,0,4,32768,1,77.302
attention,0,0,4,32768,2,101.536
attention,0,0,4,32768,3,149.174
attention,0,0,4,32768,5,168.289
attention,0,0,4,32768,9,281.858
attention,0,0,4,65536,1,77.5897
attention,0,0,4,65536,2,100.662
attention,0,0,4,65536,3,149.644
attention,0,0,4,65536,5,169.483
attention,0,0,4,65536,9,284.343
attention,0,0,4,131072,1,76.011
attention,0,0,4,131072,2,102.913
attention,0,0,4,131072,3,153.12
attention,0,0,4,131072,5,172.939
attention,0,0,4,131072,9,288.236
attention,0,0,4,163830,1,76.0107
attention,0,0,4,163830,2,104.492
attention,0,0,4,163830,3,154.284
attention,0,0,4,163830,5,173.227
attention,0,0,4,163830,9,288.534
attention,0,0,8,16,1,500.93
attention,0,0,8,16,2,907.855
attention,0,0,8,16,3,1478.48
attention,0,0,8,16,5,2217.95
attention,0,0,8,16,9,1272.08
attention,0,0,8,32,1,513.23
attention,0,0,8,32,2,909.679
attention,0,0,8,32,3,1465.68
attention,0,0,8,32,5,2198.19
attention,0,0,8,32,9,1259.24
attention,0,0,8,64,1,499.48
attention,0,0,8,64,2,885.317
attention,0,0,8,64,3,1449.94
attention,0,0,8,64,5,2165.27
attention,0,0,8,64,9,1243.07
attention,0,0,8,128,1,478.2
attention,0,0,8,128,2,864.666
attention,0,0,8,128,3,1408.64
attention,0,0,8,128,5,2106.59
attention,0,0,8,128,9,1221.46
attention,0,0,8,256,1,452.973
attention,0,0,8,256,2,802.032
attention,0,0,8,256,3,1326.98
attention,0,0,8,256,5,1973.01
attention,0,0,8,256,9,1151.6
attention,0,0,8,512,1,402.018
attention,0,0,8,512,2,696.644
attention,0,0,8,512,3,1179.78
attention,0,0,8,512,5,1723.22
attention,0,0,8,512,9,1013.65
attention,0,0,8,1024,1,282.956
attention,0,0,8,1024,2,494.072
attention,0,0,8,1024,3,861.89
attention,0,0,8,1024,5,1236.19
attention,0,0,8,1024,9,763.918
attention,0,0,8,2048,1,116.299
attention,0,0,8,2048,2,158.017
attention,0,0,8,2048,3,242.529
attention,0,0,8,2048,5,288.311
attention,0,0,8,2048,9,289.292
attention,0,0,8,4096,1,117.504
attention,0,0,8,4096,2,157.015
attention,0,0,8,4096,3,245.771
attention,0,0,8,4096,5,287.959
attention,0,0,8,4096,9,289.622
attention,0,0,8,8192,1,119.083
attention,0,0,8,8192,2,154.241
attention,0,0,8,8192,3,243.67
attention,0,0,8,8192,5,287.457
