time_s	power_w
0	469.13
1	858.66
2	932.81
3	932.82
4	933.09
5	933.56
6	933.92
7	739.63
8	512.6
9	512.6
10	512.6
11	512.6
12	512.6
13	512.6
14	512.6
15	512.6
16	512.6
17	512.6
18	512.6
19	512.6
20	512.6
21	512.6
22	512.6
23	512.6
24	512.6
25	461.42
26	400.6
27	400.6
28	400.6
29	400.6
30	400.6
31	400.6
32	400.6
33	400.6
34	400.6
35	400.6
36	400.6
37	400.6
38	400.6
39	400.6
40	400.6
41	400.6
42	400.6
43	400.6
44	400.6
45	400.6
46	400.6
47	400.6
48	400.6
49	400.6
50	400.6
51	400.6
52	400.6
53	400.6
54	400.6
55	400.6
56	400.6
57	400.6
58	400.6
59	400.6
60	400.6
61	927.58
62	932.81
63	932.86
64	933.1
65	933.31
66	933.76
67	933.95
68	887.33
69	512.6
70	512.6
71	512.6
72	512.6
73	512.6
74	512.6
75	512.6
76	512.6
77	512.6
78	512.6
79	512.6
80	512.6
81	512.6
82	512.6
83	512.6
84	512.6
85	512.6
86	500.17
87	400.6
88	400.6
89	400.6
90	400.6
91	400.6
92	400.6
93	400.6
94	400.6
95	400.6
96	400.6
97	400.6
98	400.6
99	400.6
100	400.6
101	400.6
102	400.6
103	400.6
104	400.6
105	400.6
106	400.6
107	400.6
108	400.6
109	400.6
110	400.6
111	400.6
112	400.6
113	400.6
114	400.6
115	400.6
116	400.6
117	400.6
118	400.6
119	400.6
120	400.6
121	926.63
122	932.62
123	932.97
124	933.12
125	933.61
126	933.84
127	933.97
128	934.15
129	934.24
