time duration,prompt throughput,generation throughput
0,95.6,67.7
0.5,143.7,219.5
1,208.9,350.1
1.5,257.7,379.5
2,339.3,524.9
2.5,299.5,644.9
3,41.7,619.3
3.5,379.5,635.2
4,528.8,570.8
4.5,39.9,738.8
5,193.6,662.7
5.5,619.7,455.7
6,220.7,642.3
6.5,207.8,621.3
7,99.7,592.5
7.5,284.5,567.1
8,187.9,717.7
8.5,126,663.8
9,203.8,759.3
9.5,0,812.7
10,0,758.3
10.5,0,595.4
11,0,558.8
11.5,0,342.8
12,0,69.9
