time duration,prompt throughput,generation throughput
0,96,206
0.5,134,492
1,192,516
1.5,314,508
2,338,538
2.5,240,646
3,70,650
3.5,394,536
4,494,500
4.5,32,688
5,148,636
5.5,710,414
6,196,620
6.5,200,610
7,152,642
7.5,276,584
8,210,638
8.5,82,646
9,204,670
9.5,0,736
10,0,694
10.5,0,686
11,0,556
