time duration,prompt throughput,generation throughput
0,64,12
0.5,130,68
1,228,100
1.5,270,154
2,262,218
2.5,274,232
3,136,372
3.5,232,198
4,512,226
4.5,196,340
5,130,442
5.5,278,272
6,646,412
6.5,14,532
7,280,550
7.5,304,442
8,64,476
8.5,236,604
9,226,506
9.5,0,640
10,0,722
10.5,0,590
11,0,556
11.5,0,614
12,0,588
12.5,0,452
13,0,496
13.5,0,448
14,0,446
14.5,0,334
15,0,344
15.5,0,274
16,0,256
16.5,0,228
17,0,154
17.5,0,92
18,0,22
