time duration,prompt throughput,generation throughput
0,103.8,73.8
0.5,135.9,247.8
1,208.9,384
1.5,420.6,295
2,253.7,537.4
2.5,221.7,698.9
3,42,633.5
3.5,429.5,598.5
4,475.7,627
4.5,39.8,730.5
5,193,618.8
5.5,682.8,436
6,155.1,664.1
6.5,206.5,625.5
7,193.2,529.8
7.5,215,533.6
8,206.9,726.2
8.5,81.8,748.4
9,202.4,716.4
9.5,0,819.7
10,0,724.4
10.5,0,620.2
11,0,536.8
11.5,0,335.5
12,0,34
