time duration,prompt throughput,generation throughput
0,64,26
0.5,166,112
1,192,138
1.5,270,204
2,262,314
2.5,360,290
3,70,474
3.5,212,194
4,294,218
4.5,414,412
5,148,514
5.5,356,340
6,550,376
6.5,112,576
7,182,560
7.5,314,500
8,54,550
8.5,236,562
9,226,578
9.5,0,702
10,0,758
10.5,0,606
11,0,674
11.5,0,612
12,0,542
12.5,0,530
13,0,454
13.5,0,460
14,0,398
14.5,0,328
15,0,244
15.5,0,148
16,0,18
16.5,0,0
