time duration,prompt throughput,generation throughput
0,64,134
0.5,166,396
1,192,484
1.5,306,518
2,346,590
2.5,240,682
3,70,726
3.5,394,586
4,494,598
4.5,32,752
5,148,606
5.5,710,378
6,196,658
6.5,200,620
7,152,656
7.5,276,628
8,210,680
8.5,82,768
9,204,738
9.5,0,782
10,0,710
10.5,0,574
11,0,148
