time_s	gpu_mem_mb	prefix_hit_pct
0	15378.51	0.0
1	15478.51	0.0
2	15602.51	0.0
3	15874.51	0.0
4	15972.51	0.0
5	16070.51	0.0
6	16162.51	0.0
7	16242.51	0.0
8	16310.51	0.0
9	16352.51	0.0
10	16388.51	0.0
11	16410.51	0.0
12	16430.51	0.0
13	16448.51	0.0
14	16462.51	0.0
15	16466.51	0.0
16	16470.51	0.0
17	16470.51	0.0
18	16470.51	0.0
19	16674.51	0.0
20	16846.51	0.25
21	16918.51	0.49
22	17192.51	0.38
23	17370.51	0.35
24	17512.51	0.66
25	17598.51	0.66
26	17688.51	0.66
27	17764.51	0.66
28	17826.51	0.66
29	17878.51	0.66
30	17908.51	0.66
31	17934.51	0.66
32	17952.51	0.66
33	17960.51	0.66
34	17970.51	0.66
35	17974.51	0.66
36	17976.51	0.66
37	17976.51	0.66
38	17976.51	0.66
39	18058.51	0.63
40	18104.51	0.62
41	18282.51	0.56
42	18504.51	2.91
43	18714.51	3.75
44	18806.51	3.75
45	18888.51	3.75
46	18964.51	3.75
47	19044.51	3.75
48	19098.51	3.75
49	19140.51	3.75
50	19174.51	3.75
51	19190.51	3.75
52	19206.51	3.75
53	19216.51	3.75
54	19226.51	3.75
55	19236.51	3.75
56	19246.51	3.75
57	19252.51	3.75
58	19282.51	3.7
59	19726.51	3.93
60	19986.51	3.56
61	20238.51	3.3
62	20432.51	4.31
63	20530.51	4.3
64	20628.51	4.3
65	20736.51	4.3
66	20828.51	4.3
67	20910.51	4.3
68	20982.51	4.3
69	21036.51	4.3
70	21084.51	4.3
71	21126.51	4.3
72	21158.51	4.3
73	21182.51	4.3
74	21206.51	4.3
75	21228.51	4.3
76	21252.51	4.3
77	21268.51	4.3
78	21312.51	5.35
79	21568.51	5.85
80	21712.51	7.64
81	21916.51	10.01
82	22072.51	12.07
83	22166.51	12.06
84	22242.51	12.06
85	22312.51	12.06
86	22368.51	12.06
87	22412.51	12.06
88	22440.51	12.06
89	22468.51	12.06
90	22486.51	12.06
91	22504.51	12.06
92	22522.51	12.06
93	22536.51	12.06
94	22548.51	12.06
95	22558.51	12.06
96	22562.51	12.06
97	22566.51	12.06
98	22772.51	11.45
99	22930.51	11.99
100	23168.51	11.68
101	23386.51	11.3
102	23534.51	11.12
103	23856.51	10.63
104	23948.51	10.63
105	24034.51	10.63
106	24112.51	10.63
107	24172.51	10.63
108	24234.51	10.63
109	24276.51	10.63
110	24306.51	10.63
111	24328.51	10.63
112	24344.51	10.63
113	24360.51	10.63
114	24370.51	10.63
115	24378.51	10.63
116	24386.51	10.63
117	24396.51	10.63
118	24404.51	10.63
119	24408.51	10.63
120	24412.51	10.63
121	24416.51	10.63
122	24420.51	10.63
123	24426.51	10.63
