timestamp,vllm:kv_cache_usage_perc,vllm:prefix_cache_queries_total,vllm:prefix_cache_hits_total,vllm:external_prefix_cache_queries_total,vllm:external_prefix_cache_hits_total
2025-12-13T12:42:16.219553,0.12461171711334249,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:17.241014,0.12764574153001518,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:18.262823,0.13053528859351296,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:19.289636,0.13342483565701077,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:20.312102,0.1360254280141588,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:21.334630,0.1379758722820198,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:22.359099,0.13963736184353104,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:23.382628,0.14086541934551758,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:24.403914,0.1415155674348046,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:25.425861,0.14231019287726648,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:26.448909,0.14274362493679116,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:27.471174,0.14317705699631583,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:28.493324,0.14353825037925305,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:29.514489,0.14389944376219027,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:30.535740,0.1441161597919526,14518.0,544.0,14518.0,512.0
2025-12-13T12:42:31.558752,0.15336271039514557,16509.0,544.0,16509.0,1280.0
2025-12-13T12:42:32.583963,0.16672686556382288,19525.0,720.0,19525.0,1280.0
2025-12-13T12:42:33.609036,0.17409521057574226,20761.0,720.0,20761.0,1280.0
2025-12-13T12:42:34.634356,0.1834862385321101,22368.0,720.0,22368.0,1280.0
2025-12-13T12:42:35.658742,0.18912085530593079,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:36.684343,0.19237159575236581,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:37.706755,0.19598352958173806,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:38.732806,0.19930650870476052,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:39.754717,0.201979339738496,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:40.776470,0.20465217077223144,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:41.798496,0.20710828577620458,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:42.819864,0.20898649136747816,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:43.843603,0.21072021960557683,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:44.864774,0.21202051578415085,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:45.889006,0.2133930506393123,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:46.912394,0.2141876760817742,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:47.935597,0.21498230152423609,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:48.957738,0.21599364299646032,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:49.979058,0.21671602976233476,23585.0,1264.0,23585.0,1280.0
2025-12-13T12:42:51.000319,0.21765513255797153,23608.0,1264.0,23608.0,1280.0
2025-12-13T12:42:52.022445,0.22697392183775192,25728.0,1504.0,25728.0,1536.0
2025-12-13T12:42:53.047597,0.23275301596474754,27090.0,2064.0,27090.0,1712.0
2025-12-13T12:42:54.073958,0.24004912230007946,29084.0,2912.0,29084.0,1712.0
2025-12-13T12:42:55.099091,0.24503359098461316,30506.0,3680.0,30506.0,1712.0
2025-12-13T12:42:56.126124,0.2518962652604204,31448.0,3680.0,31448.0,1968.0
