time_s	throughput
0	0.0
1	151.0
2	546.0
3	1143.0
4	1425.0
5	1799.0
6	1864.0
7	2024.0
8	2230.0
9	2350.0
10	2603.0
11	2664.0
12	2580.0
13	2605.0
14	2641.0
15	2671.0
16	2710.0
17	2904.0
18	2699.0
19	2727.0
20	2684.0
21	2860.0
22	2736.0
23	2730.0
24	2732.0
25	2582.0
26	2660.0
27	2549.0
28	2461.0
29	2664.0
30	2665.0
31	2403.0
32	2190.0
33	1874.0
34	1531.0
35	1187.0
36	958.0
37	835.0
38	754.0
39	653.0
40	380.0
41	268.0
42	200.0
43	162.0
44	111.0
45	90.0
46	43.0
