t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
151.0,4650.0,818.0,43,14,98.88
152.0,2932.0,1228.0,42,13,98.53
153.0,0.0,1574.0,41,14,99.85
154.0,0.0,1204.0,41,13,99.38
155.0,0.0,1521.0,39,15,96.68
156.0,0.0,1475.0,38,15,96.75
157.0,0.0,1406.0,37,16,98.57
158.0,0.0,1385.0,36,17,99.42
159.0,0.0,1301.0,34,19,95.9
160.0,0.0,1292.0,34,19,99.07
161.0,0.0,1031.0,31,19,93.47
162.0,0.0,1209.0,30,19,92.81
163.0,0.0,883.0,31,15,98.38
164.0,0.0,913.0,30,13,99.5
165.0,2668.0,731.0,30,9,99.88
166.0,6486.0,512.0,32,5,97.18
167.0,2249.0,899.0,33,0,99.88
168.0,1318.0,1175.0,31,0,95.71
169.0,0.0,1184.0,27,0,82.03
170.0,0.0,1103.0,23,0,68.46
171.0,0.0,988.0,21,0,64.82
172.0,0.0,903.0,19,0,61.07
173.0,0.0,867.0,18,0,57.36
174.0,0.0,797.0,16,0,53.38
175.0,0.0,800.0,16,0,55.24
176.0,0.0,784.0,16,0,57.09
177.0,0.0,771.0,15,0,55.04
178.0,0.0,750.0,15,0,56.86
179.0,0.0,708.0,14,0,54.31
180.0,0.0,544.0,9,0,36.3
181.0,0.0,445.0,8,0,34.56
182.0,0.0,353.0,4,0,19.1
183.0,0.0,157.0,2,0,9.28
184.0,0.0,27.0,0,0,0.0
