2025/12/11 21:13:41.417, 0, 0, 32.37
2025/12/11 21:13:41.619, 0, 0, 32.37
2025/12/11 21:13:41.819, 0, 0, 32.37
2025/12/11 21:13:42.020, 0, 0, 32.36
2025/12/11 21:13:42.220, 0, 0, 32.36
2025/12/11 21:13:42.420, 0, 0, 32.36
2025/12/11 21:13:42.620, 0, 0, 32.36
2025/12/11 21:13:42.820, 0, 0, 32.36
2025/12/11 21:13:43.020, 0, 0, 32.43
2025/12/11 21:13:43.221, 0, 0, 32.43
2025/12/11 21:13:43.421, 0, 0, 32.43
2025/12/11 21:13:43.621, 0, 0, 32.43
2025/12/11 21:13:43.821, 0, 0, 32.43
2025/12/11 21:13:44.022, 0, 0, 32.49
2025/12/11 21:13:44.222, 0, 0, 32.49
2025/12/11 21:13:44.422, 0, 0, 32.49
2025/12/11 21:13:44.622, 0, 0, 32.49
2025/12/11 21:13:44.822, 0, 0, 32.49
2025/12/11 21:13:45.023, 0, 0, 32.41
2025/12/11 21:13:45.223, 0, 0, 32.41
2025/12/11 21:13:45.423, 0, 0, 32.41
2025/12/11 21:13:45.623, 0, 0, 32.41
2025/12/11 21:13:45.823, 0, 0, 32.41
2025/12/11 21:13:46.024, 0, 0, 32.32
2025/12/11 21:13:46.224, 0, 0, 32.32
2025/12/11 21:13:46.424, 0, 0, 32.32
2025/12/11 21:13:46.624, 0, 0, 32.32
2025/12/11 21:13:46.825, 0, 0, 32.32
2025/12/11 21:13:47.025, 0, 0, 32.26
2025/12/11 21:13:47.225, 0, 0, 32.26
2025/12/11 21:13:47.425, 0, 0, 32.26
2025/12/11 21:13:47.625, 0, 0, 32.26
2025/12/11 21:13:47.826, 0, 0, 32.26
2025/12/11 21:13:48.026, 0, 0, 32.25
2025/12/11 21:13:48.226, 0, 0, 32.25
2025/12/11 21:13:48.426, 0, 0, 32.25
2025/12/11 21:13:48.626, 0, 0, 32.25
2025/12/11 21:13:48.827, 0, 0, 32.25
2025/12/11 21:13:49.027, 0, 0, 32.26
2025/12/11 21:13:49.227, 0, 0, 32.26
2025/12/11 21:13:49.427, 0, 0, 32.26
2025/12/11 21:13:49.627, 0, 0, 32.26
2025/12/11 21:13:49.828, 0, 0, 32.26
2025/12/11 21:13:50.028, 0, 0, 32.29
2025/12/11 21:13:50.228, 0, 0, 32.29
2025/12/11 21:13:50.428, 0, 0, 32.29
2025/12/11 21:13:50.629, 0, 0, 32.52
2025/12/11 21:13:50.829, 0, 0, 32.52
2025/12/11 21:13:51.029, 0, 0, 112.01
