time_s	gpu_mem_mb	prefix_hit_pct
0	15386.63766	0
1	15470.64664	0
2	15586.65905	0
3	15688.66995	0
4	15958.69882	0
5	16236.72854	0
6	16324.73795	0
7	16412.74736	0
8	16492.75591	0
9	16546.76168	0
10	16596.76703	0
11	16622.76981	0
12	16642.77195	0
13	16664.7743	0
14	16682.77622	0
15	16694.77751	0
16	16700.77815	0
17	16704.77857	0
18	16702.77836	0
19	16706.77879	0
20	16728.78114	0
21	16962.80616	0.4864700517
22	17224.83417	0.3862401931
23	17416.8547	0.3471845503
24	17554.86945	0.6646588431
25	17636.87822	0.6646588431
26	17716.88677	0.6646588431
27	17788.89447	0.6646588431
28	17856.90174	0.6646588431
29	17906.90708	0.6646588431
30	17936.91029	0.6646588431
31	17964.91329	0.6646588431
32	17982.91521	0.6646588431
33	17994.91649	0.6646588431
34	18002.91735	0.6646588431
35	18008.91799	0.6646588431
36	18010.9182	0.6646588431
37	18010.9182	0.6646588431
38	18010.9182	0.6646588431
39	18106.92847	0.6232956759
40	18176.93595	0.6091757091
41	18354.95498	0.5554591217
42	18580.97914	2.913505311
43	18799.00245	3.7470726
44	18883.01143	3.7470726
45	18963.01998	3.7470726
46	19043.02854	3.7470726
47	19115.03624	3.7470726
48	19169.04201	3.7470726
49	19215.04693	3.7470726
50	19249.05056	3.7470726
51	19267.05249	3.7470726
52	19289.05484	3.7470726
53	19301.05612	3.7470726
54	19313.0574	3.7470726
55	19323.05847	3.7470726
56	19333.05954	3.7470726
57	19339.06018	3.7470726
58	19595.08755	3.29517233
59	19965.12711	3.687580026
60	20169.14892	3.468041038
61	20429.17672	3.21888412
62	20585.1934	5.359338563
63	20675.20302	5.359338563
64	20775.21371	5.359338563
65	20867.22355	5.359338563
66	20941.23146	5.359338563
67	21015.23937	5.359338563
68	21083.24664	5.359338563
69	21135.2522	5.359338563
70	21183.25733	5.359338563
71	21219.26118	5.359338563
72	21257.26524	5.359338563
73	21279.2676	5.359338563
74	21301.26995	5.359338563
75	21329.27294	5.359338563
76	21349.27508	5.359338563
77	21375.27786	5.354117248
78	21633.30544	5.845771144
79	21793.32255	7.619047619
80	21995.34415	10.01237794
81	22133.3589	12.06320068
82	22323.37921	11.70185703
83	22409.38841	11.70185703
84	22463.39418	11.70185703
85	22527.40102	11.70185703
86	22577.40637	11.70185703
87	22611.41	11.70185703
88	22635.41257	11.70185703
89	22657.41492	11.70185703
90	22675.41685	11.70185703
91	22695.41898	11.70185703
92	22709.42048	11.70185703
93	22723.42198	11.70185703
94	22735.42326	11.70185703
95	22737.42348	11.70185703
96	22743.42412	11.70185703
97	22837.43417	11.4467013
98	23087.46089	11.86805515
99	23291.4827	11.66741171
100	23485.50345	11.29595066
101	23689.52526	10.96176978
102	23951.55327	10.63269554
103	24029.56161	10.63269554
104	24103.56952	10.63269554
105	24173.577	10.63269554
106	24227.58278	10.63269554
107	24281.58855	10.63269554
108	24321.59283	10.63269554
109	24345.59539	10.63269554
110	24365.59753	10.63269554
111	24385.59967	10.63269554
112	24395.60074	10.63269554
113	24407.60202	10.63269554
114	24415.60288	10.63269554
115	24425.60394	10.63269554
116	24435.60501	10.63269554
117	24441.60566	10.63269554
118	24445.60608	10.63269554
119	24451.60672	10.63269554
120	24455.60715	10.63269554
121	24461.60779	10.63269554
122	24461.60779	10.63269554
